SIZE ,STOCK ,COLORSPEC ,COATING ,RunSize,UnitPrice,TotalPrice
"2.5"" x 3.5""",32PT Uncoated,4/0 (4 color front),No Coating,500,0.0947,47.35
"2.5"" x 3.5""",32PT Uncoated,4/0 (4 color front),No Coating,1000,0.0709,70.87
"2.5"" x 3.5""",32PT Uncoated,4/1,No Coating,500,0.0970,48.50
"2.5"" x 3.5""",32PT Uncoated,4/1,No Coating,1000,0.0739,73.91
"2.5"" x 3.5""",32PT Uncoated,4/4 (4 color both sides),No Coating,500,0.0970,48.50
"2.5"" x 3.5""",32PT Uncoated,4/4 (4 color both sides),No Coating,1000,0.0739,73.91
