SIZE ,STOCK ,COLORSPEC ,COATING ,DRILL HOLE ,RunSize,UnitPrice,TotalPrice
"3.5"" x 8.5""",14PT Natural,4/1,No Coating,No Drill Hole,250,0.2668,66.70
"3.5"" x 8.5""",14PT Natural,4/1,No Coating,No Drill Hole,500,0.1524,76.21
"3.5"" x 8.5""",14PT Natural,4/1,No Coating,No Drill Hole,1000,0.1207,120.68
"3.5"" x 8.5""",14PT Natural,4/1,No Coating,"Standard Drill Hole 1/8""",25,2.3147,57.87
"3.5"" x 8.5""",14PT Natural,4/1,No Coating,"Standard Drill Hole 1/8""",50,1.2210,61.05
"3.5"" x 8.5""",14PT Natural,4/1,No Coating,"Standard Drill Hole 1/8""",75,0.8564,64.23
"3.5"" x 8.5""",14PT Natural,4/1,No Coating,"Standard Drill Hole 1/8""",100,0.6899,68.99
"3.5"" x 8.5""",14PT Natural,4/1,No Coating,"Standard Drill Hole 1/8""",250,0.3668,91.70
"3.5"" x 8.5""",14PT Natural,4/1,No Coating,"Standard Drill Hole 1/8""",500,0.2224,111.21
"3.5"" x 8.5""",14PT Natural,4/1,No Coating,"Standard Drill Hole 1/8""",1000,0.1607,160.68
