SIZE ,STOCK ,COLORSPEC ,COATING ,SCORING OPTIONS ,,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,No Blank Envelopes,75,1.0721,80.41
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,No Blank Envelopes,100,0.8575,85.75
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,No Blank Envelopes,250,0.4001,100.03
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,No Blank Envelopes,500,0.2541,127.04
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,No Blank Envelopes,1000,0.2334,233.42
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,Include Natural Envelopes - A2,25,3.2018,80.04
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,Include Natural Envelopes - A2,50,1.7761,88.81
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,Include Natural Envelopes - A2,75,1.2987,97.41
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,Include Natural Envelopes - A2,100,1.0775,107.75
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,Include Natural Envelopes - A2,250,0.5361,134.03
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,Include Natural Envelopes - A2,500,0.3461,173.04
"5.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,Include Natural Envelopes - A2,1000,0.3254,325.42
"5.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,No Blank Envelopes,25,4.2554,106.39
"5.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,No Blank Envelopes,50,2.1913,109.57
"5.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,No Blank Envelopes,75,1.4993,112.45
"5.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,No Blank Envelopes,100,1.1273,112.73
"5.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,No Blank Envelopes,250,0.5462,136.55
"5.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,No Blank Envelopes,500,0.3049,152.43
"5.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,No Blank Envelopes,1000,0.2779,277.87
"5.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,Include Natural Envelopes - A2,25,4.5354,113.39
"5.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,Include Natural Envelopes - A2,50,2.4113,120.57
"5.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,Include Natural Envelopes - A2,75,1.7260,129.45
"5.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,Include Natural Envelopes - A2,100,1.3473,134.73
"5.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,Include Natural Envelopes - A2,250,0.6822,170.55
"5.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,Include Natural Envelopes - A2,500,0.3969,198.43
"5.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,,Include Natural Envelopes - A2,1000,0.3699,369.87
"5.5"" x 8.5""",14PT Natural,4/1,No Coating,Score in Half,,No Blank Envelopes,25,4.0010,100.03
"5.5"" x 8.5""",14PT Natural,4/1,No Coating,Score in Half,,No Blank Envelopes,50,2.0644,103.22
"5.5"" x 8.5""",14PT Natural,4/1,No Coating,Score in Half,,No Blank Envelopes,75,1.4203,106.52
"5.5"" x 8.5""",14PT Natural,4/1,No Coating,Score in Half,,No Blank Envelopes,100,1.0797,107.97
"5.5"" x 8.5""",14PT Natural,4/1,No Coating,Score in Half,,No Blank Envelopes,250,0.5144,128.60
"5.5"" x 8.5""",14PT Natural,4/1,No Coating,Score in Half,,No Blank Envelopes,500,0.2922,146.09
"5.5"" x 8.5""",14PT Natural,4/1,No Coating,Score in Half,,No Blank Envelopes,1000,0.2683,268.35
"5.5"" x 8.5""",14PT Natural,4/1,No Coating,Score in Half,,Include Natural Envelopes - A2,25,4.2810,107.03
"5.5"" x 8.5""",14PT Natural,4/1,No Coating,Score in Half,,Include Natural Envelopes - A2,50,2.2844,114.22
"5.5"" x 8.5""",14PT Natural,4/1,No Coating,Score in Half,,Include Natural Envelopes - A2,75,1.6469,123.52
"5.5"" x 8.5""",14PT Natural,4/1,No Coating,Score in Half,,Include Natural Envelopes - A2,100,1.2997,129.97
"5.5"" x 8.5""",14PT Natural,4/1,No Coating,Score in Half,,Include Natural Envelopes - A2,250,0.6504,162.60
"5.5"" x 8.5""",14PT Natural,4/1,No Coating,Score in Half,,Include Natural Envelopes - A2,500,0.3842,192.09
"5.5"" x 8.5""",14PT Natural,4/1,No Coating,Score in Half,,Include Natural Envelopes - A2,1000,0.3603,360.35
"6"" x 9""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,No Blank Envelopes,25,3.4300,85.75
"6"" x 9""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,No Blank Envelopes,50,1.7783,88.92
"6"" x 9""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,No Blank Envelopes,75,1.2068,90.51
"6"" x 9""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,No Blank Envelopes,100,0.9210,92.10
"6"" x 9""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,No Blank Envelopes,250,0.4446,111.15
"6"" x 9""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,,No Blank Envelopes,500,0.2922,146.09
