SIZE ,SHAPE ,,STOCK ,COLORSPEC ,COATING ,,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A2,250,0.2861,71.53
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A2,500,0.1690,84.49
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A2,1000,0.1493,149.28
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,No Blank Envelopes,100,0.4287,42.87
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,No Blank Envelopes,250,0.2096,52.39
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,No Blank Envelopes,500,0.1143,57.16
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,No Blank Envelopes,1000,0.1000,100.03
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,Include Natural Envelopes - A2,100,0.5677,56.77
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,Include Natural Envelopes - A2,250,0.2988,74.69
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,Include Natural Envelopes - A2,500,0.1753,87.66
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,Include Natural Envelopes - A2,1000,0.1540,154.03
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,No Blank Envelopes,100,0.4446,44.46
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,No Blank Envelopes,250,0.2223,55.57
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,No Blank Envelopes,500,0.1207,60.34
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,No Blank Envelopes,1000,0.1032,103.22
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,Include Natural Envelopes - A2,100,0.5836,58.36
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,Include Natural Envelopes - A2,250,0.3115,77.87
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,Include Natural Envelopes - A2,500,0.1817,90.84
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,Include Natural Envelopes - A2,1000,0.1572,157.22
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,100,0.3969,39.69
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,250,0.1969,49.23
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,500,0.1080,53.99
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,1000,0.0953,95.28
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A2,100,0.5359,53.59
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A2,250,0.2861,71.53
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A2,500,0.1690,84.49
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A2,1000,0.1493,149.28
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,No Blank Envelopes,100,0.4287,42.87
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,No Blank Envelopes,250,0.2096,52.39
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,No Blank Envelopes,500,0.1143,57.16
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,No Blank Envelopes,1000,0.1000,100.03
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,Include Natural Envelopes - A2,100,0.5677,56.77
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,Include Natural Envelopes - A2,250,0.2988,74.69
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,Include Natural Envelopes - A2,500,0.1753,87.66
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,Include Natural Envelopes - A2,1000,0.1540,154.03
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,No Blank Envelopes,100,0.4446,44.46
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,No Blank Envelopes,250,0.2223,55.57
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,No Blank Envelopes,500,0.1207,60.34
