SIZE ,STOCK ,COLORSPEC ,COATING ,SCORING OPTIONS ,,RunSize,UnitPrice,TotalPrice
"11"" x 17""",14PT Natural,4/0 (4 color front),No Coating,No Scoring,,75,6.5843,493.82
"11"" x 17""",14PT Natural,4/0 (4 color front),No Coating,No Scoring,,100,5.6527,565.27
"11"" x 17""",14PT Natural,4/0 (4 color front),No Coating,No Scoring,,250,2.7438,685.96
"11"" x 17""",14PT Natural,4/0 (4 color front),No Coating,No Scoring,,500,1.5116,755.81
"11"" x 17""",14PT Natural,4/0 (4 color front),No Coating,No Scoring,,1000,0.8400,839.98
"5.5"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,One Score,,25,5.4109,135.27
"5.5"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,One Score,,50,2.9476,147.38
"5.5"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,One Score,,100,1.7161,171.61
"5.5"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,One Score,,250,0.8956,223.91
"5.5"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,One Score,,500,0.4941,247.06
"5.5"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,One Score,,1000,0.3172,317.16
"5.5"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,Two Scores,,25,5.4109,135.27
"5.5"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,Two Scores,,50,2.9476,147.38
"5.5"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,Two Scores,,100,1.7161,171.61
"5.5"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,Two Scores,,250,0.8956,223.91
"5.5"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,Two Scores,,500,0.4941,247.06
"5.5"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,Two Scores,,1000,0.3172,317.16
"5.5"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,No Scoring,,25,4.8909,122.27
"5.5"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,No Scoring,,50,2.6676,133.38
"5.5"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,No Scoring,,100,1.5561,155.61
"5.5"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,No Scoring,,250,0.8256,206.41
"5.5"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,No Scoring,,500,0.4541,227.06
"5.5"" x 17""",14PT Natural,4/4 (4 color both sides),No Coating,No Scoring,,1000,0.2922,292.16
"5.5"" x 17""",14PT Natural,4/1,No Coating,One Score,,25,5.1570,128.93
"5.5"" x 17""",14PT Natural,4/1,No Coating,One Score,,50,2.8521,142.60
"5.5"" x 17""",14PT Natural,4/1,No Coating,One Score,,100,1.6685,166.85
"5.5"" x 17""",14PT Natural,4/1,No Coating,One Score,,250,0.8449,211.22
"5.5"" x 17""",14PT Natural,4/1,No Coating,One Score,,500,0.4814,240.71
"5.5"" x 17""",14PT Natural,4/1,No Coating,One Score,,1000,0.2997,299.71
"5.5"" x 17""",14PT Natural,4/1,No Coating,Two Scores,,25,5.1570,128.93
"5.5"" x 17""",14PT Natural,4/1,No Coating,Two Scores,,50,2.8521,142.60
"5.5"" x 17""",14PT Natural,4/1,No Coating,Two Scores,,100,1.6685,166.85
"5.5"" x 17""",14PT Natural,4/1,No Coating,Two Scores,,250,0.8449,211.22
"5.5"" x 17""",14PT Natural,4/1,No Coating,Two Scores,,500,0.4814,240.71
"5.5"" x 17""",14PT Natural,4/1,No Coating,Two Scores,,1000,0.2997,299.71
"5.5"" x 17""",14PT Natural,4/1,No Coating,No Scoring,,25,4.6370,115.93
"5.5"" x 17""",14PT Natural,4/1,No Coating,No Scoring,,50,2.5721,128.60
"5.5"" x 17""",14PT Natural,4/1,No Coating,No Scoring,,100,1.5085,150.85
"5.5"" x 17""",14PT Natural,4/1,No Coating,No Scoring,,250,0.7749,193.72
"5.5"" x 17""",14PT Natural,4/1,No Coating,No Scoring,,500,0.4414,220.71
"5.5"" x 17""",14PT Natural,4/1,No Coating,No Scoring,,1000,0.2747,274.71
"5.5"" x 17""",14PT Natural,4/0 (4 color front),No Coating,One Score,,25,4.1405,103.51
"5.5"" x 17""",14PT Natural,4/0 (4 color front),No Coating,One Score,,50,2.2491,112.46
"5.5"" x 17""",14PT Natural,4/0 (4 color front),No Coating,One Score,,100,1.3986,139.86
"5.5"" x 17""",14PT Natural,4/0 (4 color front),No Coating,One Score,,250,0.6925,173.11
"5.5"" x 17""",14PT Natural,4/0 (4 color front),No Coating,One Score,,500,0.3957,197.83
"5.5"" x 17""",14PT Natural,4/0 (4 color front),No Coating,One Score,,1000,0.2806,280.64
"5.5"" x 17""",14PT Natural,4/0 (4 color front),No Coating,Two Scores,,25,4.1405,103.51
"5.5"" x 17""",14PT Natural,4/0 (4 color front),No Coating,Two Scores,,50,2.2491,112.46
"5.5"" x 17""",14PT Natural,4/0 (4 color front),No Coating,Two Scores,,100,1.3986,139.86
"5.5"" x 17""",14PT Natural,4/0 (4 color front),No Coating,Two Scores,,250,0.6925,173.11
"5.5"" x 17""",14PT Natural,4/0 (4 color front),No Coating,Two Scores,,500,0.3957,197.83
"5.5"" x 17""",14PT Natural,4/0 (4 color front),No Coating,Two Scores,,1000,0.2806,280.64
"5.5"" x 17""",14PT Natural,4/0 (4 color front),No Coating,No Scoring,,25,3.6205,90.51
"5.5"" x 17""",14PT Natural,4/0 (4 color front),No Coating,No Scoring,,50,1.9691,98.46
"5.5"" x 17""",14PT Natural,4/0 (4 color front),No Coating,No Scoring,,100,1.2386,123.86
"5.5"" x 17""",14PT Natural,4/0 (4 color front),No Coating,No Scoring,,250,0.6225,155.61
"5.5"" x 17""",14PT Natural,4/0 (4 color front),No Coating,No Scoring,,500,0.3557,177.83
"5.5"" x 17""",14PT Natural,4/0 (4 color front),No Coating,No Scoring,,1000,0.2556,255.64
"6"" x 18""",14PT Natural,4/4 (4 color both sides),No Coating,,,25,5.9702,149.25
"6"" x 18""",14PT Natural,4/4 (4 color both sides),No Coating,,,50,3.2075,160.38
"6"" x 18""",14PT Natural,4/4 (4 color both sides),No Coating,,,75,2.3711,177.83
"6"" x 18""",14PT Natural,4/4 (4 color both sides),No Coating,,,100,1.9530,195.30
"6"" x 18""",14PT Natural,4/4 (4 color both sides),No Coating,,,250,0.9337,233.42
"6"" x 18""",14PT Natural,4/4 (4 color both sides),No Coating,,,500,0.5176,258.82
"6"" x 18""",14PT Natural,4/4 (4 color both sides),No Coating,,,1000,0.2953,295.34
"6"" x 18""",14PT Natural,4/1,No Coating,,,25,5.7802,144.50
"6"" x 18""",14PT Natural,4/1,No Coating,,,50,3.0803,154.02
"6"" x 18""",14PT Natural,4/1,No Coating,,,75,2.2654,169.90
"6"" x 18""",14PT Natural,4/1,No Coating,,,100,1.9054,190.54
"6"" x 18""",14PT Natural,4/1,No Coating,,,250,0.8829,220.71
"6"" x 18""",14PT Natural,4/1,No Coating,,,500,0.5081,254.06
"6"" x 18""",14PT Natural,4/1,No Coating,,,1000,0.2922,292.16
"6"" x 18""",14PT Natural,4/0 (4 color front),No Coating,,,25,5.2081,130.20
"6"" x 18""",14PT Natural,4/0 (4 color front),No Coating,,,50,2.8262,141.31
"6"" x 18""",14PT Natural,4/0 (4 color front),No Coating,,,75,2.0749,155.61
"6"" x 18""",14PT Natural,4/0 (4 color front),No Coating,,,100,1.6513,165.13
"6"" x 18""",14PT Natural,4/0 (4 color front),No Coating,,,250,0.7113,177.83
"6"" x 18""",14PT Natural,4/0 (4 color front),No Coating,,,500,0.4065,203.25
"6"" x 18""",14PT Natural,4/0 (4 color front),No Coating,,,1000,0.2541,254.06
"8"" x 10""",14PT Natural,4/4 (4 color both sides),No Coating,,,25,4.7637,119.09
"8"" x 10""",14PT Natural,4/4 (4 color both sides),No Coating,,,50,2.6040,130.20
"8"" x 10""",14PT Natural,4/4 (4 color both sides),No Coating,,,75,1.9054,142.91
"8"" x 10""",14PT Natural,4/4 (4 color both sides),No Coating,,,100,1.5085,150.85
"8"" x 10""",14PT Natural,4/4 (4 color both sides),No Coating,,,250,0.7812,195.30
"8"" x 10""",14PT Natural,4/4 (4 color both sides),No Coating,,,500,0.4319,215.95
"8"" x 10""",14PT Natural,4/4 (4 color both sides),No Coating,,,1000,0.2779,277.87
"8"" x 10""",14PT Natural,4/1,No Coating,,,25,4.5093,112.73
"8"" x 10""",14PT Natural,4/1,No Coating,,,50,2.5088,125.44
"8"" x 10""",14PT Natural,4/1,No Coating,,,75,1.8632,139.74
"8"" x 10""",14PT Natural,4/1,No Coating,,,100,1.4609,146.09
"8"" x 10""",14PT Natural,4/1,No Coating,,,250,0.7368,184.19
"8"" x 10""",14PT Natural,4/1,No Coating,,,500,0.4192,209.61
"8"" x 10""",14PT Natural,4/1,No Coating,,,1000,0.2604,260.40
"8"" x 10""",14PT Natural,4/0 (4 color front),No Coating,,,25,3.4933,87.33
"8"" x 10""",14PT Natural,4/0 (4 color front),No Coating,,,50,1.9055,95.28
"8"" x 10""",14PT Natural,4/0 (4 color front),No Coating,,,75,1.4396,107.97
"8"" x 10""",14PT Natural,4/0 (4 color front),No Coating,,,100,1.1909,119.09
"8"" x 10""",14PT Natural,4/0 (4 color front),No Coating,,,250,0.5907,147.67
"8"" x 10""",14PT Natural,4/0 (4 color front),No Coating,,,500,0.3366,168.32
"8"" x 10""",14PT Natural,4/0 (4 color front),No Coating,,,1000,0.2429,242.93
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,One Score,No Hole Punch,25,5.4109,135.27
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,One Score,No Hole Punch,50,2.9476,147.38
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,One Score,No Hole Punch,75,2.1478,161.09
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,One Score,No Hole Punch,100,1.7161,171.61
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,One Score,No Hole Punch,250,0.8956,223.91
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,One Score,No Hole Punch,500,0.4941,247.06
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,One Score,No Hole Punch,1000,0.3172,317.16
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,One Score,"3 Hole Punch - 1/4""",25,5.8909,147.27
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,One Score,"3 Hole Punch - 1/4""",50,3.2076,160.38
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,One Score,"3 Hole Punch - 1/4""",75,2.3345,175.09
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,One Score,"3 Hole Punch - 1/4""",100,1.8661,186.61
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,One Score,"3 Hole Punch - 1/4""",250,0.9956,248.91
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,One Score,"3 Hole Punch - 1/4""",500,0.5641,282.06
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,One Score,"3 Hole Punch - 1/4""",1000,0.3722,372.16
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,Two Scores,No Hole Punch,25,5.4109,135.27
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,Two Scores,No Hole Punch,50,2.9476,147.38
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,Two Scores,No Hole Punch,75,2.1478,161.09
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,Two Scores,No Hole Punch,100,1.7161,171.61
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,Two Scores,No Hole Punch,250,0.8956,223.91
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,Two Scores,No Hole Punch,500,0.4941,247.06
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,Two Scores,No Hole Punch,1000,0.3172,317.16
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,Two Scores,"3 Hole Punch - 1/4""",25,5.8909,147.27
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,Two Scores,"3 Hole Punch - 1/4""",50,3.2076,160.38
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,Two Scores,"3 Hole Punch - 1/4""",75,2.3345,175.09
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,Two Scores,"3 Hole Punch - 1/4""",100,1.8661,186.61
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,Two Scores,"3 Hole Punch - 1/4""",250,0.9956,248.91
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,Two Scores,"3 Hole Punch - 1/4""",500,0.5641,282.06
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,Two Scores,"3 Hole Punch - 1/4""",1000,0.3722,372.16
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,No Scoring,No Hole Punch,25,4.8909,122.27
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,No Scoring,No Hole Punch,50,2.6676,133.38
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,No Scoring,No Hole Punch,75,1.9478,146.09
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,No Scoring,No Hole Punch,100,1.5561,155.61
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,No Scoring,No Hole Punch,250,0.8256,206.41
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,No Scoring,No Hole Punch,500,0.4541,227.06
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,No Scoring,No Hole Punch,1000,0.2922,292.16
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,No Scoring,"3 Hole Punch - 1/4""",25,5.3709,134.27
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,No Scoring,"3 Hole Punch - 1/4""",50,2.9276,146.38
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,No Scoring,"3 Hole Punch - 1/4""",75,2.1345,160.09
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,No Scoring,"3 Hole Punch - 1/4""",100,1.7061,170.61
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,No Scoring,"3 Hole Punch - 1/4""",250,0.9256,231.41
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,No Scoring,"3 Hole Punch - 1/4""",500,0.5241,262.06
"8.5"" x 11""",14PT Natural,4/4 (4 color both sides),No Coating,No Scoring,"3 Hole Punch - 1/4""",1000,0.3472,347.16
"8.5"" x 11""",14PT Natural,4/1,No Coating,One Score,No Hole Punch,25,5.1570,128.93
"8.5"" x 11""",14PT Natural,4/1,No Coating,One Score,No Hole Punch,50,2.8521,142.60
"8.5"" x 11""",14PT Natural,4/1,No Coating,One Score,No Hole Punch,75,2.1054,157.91
"8.5"" x 11""",14PT Natural,4/1,No Coating,One Score,No Hole Punch,100,1.6685,166.85
"8.5"" x 11""",14PT Natural,4/1,No Coating,One Score,No Hole Punch,250,0.8449,211.22
"8.5"" x 11""",14PT Natural,4/1,No Coating,One Score,No Hole Punch,500,0.4814,240.71
"8.5"" x 11""",14PT Natural,4/1,No Coating,One Score,No Hole Punch,1000,0.2997,299.71
"8.5"" x 11""",14PT Natural,4/1,No Coating,One Score,"3 Hole Punch - 1/4""",25,5.6370,140.93
"8.5"" x 11""",14PT Natural,4/1,No Coating,One Score,"3 Hole Punch - 1/4""",50,3.1121,155.60
"8.5"" x 11""",14PT Natural,4/1,No Coating,One Score,"3 Hole Punch - 1/4""",75,2.2921,171.91
"8.5"" x 11""",14PT Natural,4/1,No Coating,One Score,"3 Hole Punch - 1/4""",100,1.8185,181.85
"8.5"" x 11""",14PT Natural,4/1,No Coating,One Score,"3 Hole Punch - 1/4""",250,0.9449,236.22
"8.5"" x 11""",14PT Natural,4/1,No Coating,One Score,"3 Hole Punch - 1/4""",500,0.5514,275.71
"8.5"" x 11""",14PT Natural,4/1,No Coating,One Score,"3 Hole Punch - 1/4""",1000,0.3547,354.71
"8.5"" x 11""",14PT Natural,4/1,No Coating,Two Scores,No Hole Punch,25,5.1570,128.93
"8.5"" x 11""",14PT Natural,4/1,No Coating,Two Scores,No Hole Punch,50,2.8521,142.60
"8.5"" x 11""",14PT Natural,4/1,No Coating,Two Scores,No Hole Punch,75,2.1054,157.91
"8.5"" x 11""",14PT Natural,4/1,No Coating,Two Scores,No Hole Punch,100,1.6685,166.85
"8.5"" x 11""",14PT Natural,4/1,No Coating,Two Scores,No Hole Punch,250,0.8449,211.22
"8.5"" x 11""",14PT Natural,4/1,No Coating,Two Scores,No Hole Punch,500,0.4814,240.71
"8.5"" x 11""",14PT Natural,4/1,No Coating,Two Scores,No Hole Punch,1000,0.2997,299.71
"8.5"" x 11""",14PT Natural,4/1,No Coating,Two Scores,"3 Hole Punch - 1/4""",25,5.6370,140.93
"8.5"" x 11""",14PT Natural,4/1,No Coating,Two Scores,"3 Hole Punch - 1/4""",50,3.1121,155.60
"8.5"" x 11""",14PT Natural,4/1,No Coating,Two Scores,"3 Hole Punch - 1/4""",75,2.2921,171.91
"8.5"" x 11""",14PT Natural,4/1,No Coating,Two Scores,"3 Hole Punch - 1/4""",100,1.8185,181.85
"8.5"" x 11""",14PT Natural,4/1,No Coating,Two Scores,"3 Hole Punch - 1/4""",250,0.9449,236.22
"8.5"" x 11""",14PT Natural,4/1,No Coating,Two Scores,"3 Hole Punch - 1/4""",500,0.5514,275.71
"8.5"" x 11""",14PT Natural,4/1,No Coating,Two Scores,"3 Hole Punch - 1/4""",1000,0.3547,354.71
"8.5"" x 11""",14PT Natural,4/1,No Coating,No Scoring,No Hole Punch,25,4.6370,115.93
"8.5"" x 11""",14PT Natural,4/1,No Coating,No Scoring,No Hole Punch,50,2.5721,128.60
"8.5"" x 11""",14PT Natural,4/1,No Coating,No Scoring,No Hole Punch,75,1.9054,142.91
"8.5"" x 11""",14PT Natural,4/1,No Coating,No Scoring,No Hole Punch,100,1.5085,150.85
"8.5"" x 11""",14PT Natural,4/1,No Coating,No Scoring,No Hole Punch,250,0.7749,193.72
"8.5"" x 11""",14PT Natural,4/1,No Coating,No Scoring,No Hole Punch,500,0.4414,220.71
"8.5"" x 11""",14PT Natural,4/1,No Coating,No Scoring,No Hole Punch,1000,0.2747,274.71
"8.5"" x 11""",14PT Natural,4/1,No Coating,No Scoring,"3 Hole Punch - 1/4""",25,5.1170,127.93
"8.5"" x 11""",14PT Natural,4/1,No Coating,No Scoring,"3 Hole Punch - 1/4""",50,2.8321,141.60
"8.5"" x 11""",14PT Natural,4/1,No Coating,No Scoring,"3 Hole Punch - 1/4""",75,2.0921,156.91
"8.5"" x 11""",14PT Natural,4/1,No Coating,No Scoring,"3 Hole Punch - 1/4""",100,1.6585,165.85
"8.5"" x 11""",14PT Natural,4/1,No Coating,No Scoring,"3 Hole Punch - 1/4""",250,0.8749,218.72
"8.5"" x 11""",14PT Natural,4/1,No Coating,No Scoring,"3 Hole Punch - 1/4""",500,0.5114,255.71
