SIZE ,STOCK ,COLORSPEC ,COATING ,SCORING OPTIONS ,,RunSize,UnitPrice,TotalPrice
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,Two Scores,"3 Hole Punch - 1/4""",75,1.8687,140.15
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,Two Scores,"3 Hole Punch - 1/4""",100,1.5486,154.86
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,Two Scores,"3 Hole Punch - 1/4""",250,0.7925,198.11
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,Two Scores,"3 Hole Punch - 1/4""",500,0.4657,232.83
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,Two Scores,"3 Hole Punch - 1/4""",1000,0.3356,335.64
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,No Scoring,No Hole Punch,25,3.6205,90.51
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,No Scoring,No Hole Punch,50,1.9691,98.46
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,No Scoring,No Hole Punch,75,1.4820,111.15
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,No Scoring,No Hole Punch,100,1.2386,123.86
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,No Scoring,No Hole Punch,250,0.6225,155.61
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,No Scoring,No Hole Punch,500,0.3557,177.83
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,No Scoring,No Hole Punch,1000,0.2556,255.64
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,No Scoring,"3 Hole Punch - 1/4""",25,4.1005,102.51
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,No Scoring,"3 Hole Punch - 1/4""",50,2.2291,111.46
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,No Scoring,"3 Hole Punch - 1/4""",75,1.6687,125.15
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,No Scoring,"3 Hole Punch - 1/4""",100,1.3886,138.86
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,No Scoring,"3 Hole Punch - 1/4""",250,0.7225,180.61
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,No Scoring,"3 Hole Punch - 1/4""",500,0.4257,212.83
"8.5"" x 11""",14PT Natural,4/0 (4 color front),No Coating,No Scoring,"3 Hole Punch - 1/4""",1000,0.3106,310.64
"9"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,,,25,5.9702,149.25
"9"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,,,50,3.2075,160.38
"9"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,,,75,2.3711,177.83
"9"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,,,100,1.9530,195.30
"9"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,,,250,0.9337,233.42
"9"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,,,500,0.5176,258.82
"9"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,,,1000,0.2953,295.34
"9"" x 12""",14PT Natural,4/1,No Coating,,,25,5.7802,144.50
"9"" x 12""",14PT Natural,4/1,No Coating,,,50,3.0803,154.02
"9"" x 12""",14PT Natural,4/1,No Coating,,,75,2.2654,169.90
"9"" x 12""",14PT Natural,4/1,No Coating,,,100,1.9054,190.54
"9"" x 12""",14PT Natural,4/1,No Coating,,,250,0.8829,220.71
"9"" x 12""",14PT Natural,4/1,No Coating,,,500,0.5081,254.06
"9"" x 12""",14PT Natural,4/1,No Coating,,,1000,0.2922,292.16
"9"" x 12""",14PT Natural,4/0 (4 color front),No Coating,,,25,5.2081,130.20
"9"" x 12""",14PT Natural,4/0 (4 color front),No Coating,,,50,2.8262,141.31
"9"" x 12""",14PT Natural,4/0 (4 color front),No Coating,,,75,2.0749,155.61
"9"" x 12""",14PT Natural,4/0 (4 color front),No Coating,,,100,1.6513,165.13
"9"" x 12""",14PT Natural,4/0 (4 color front),No Coating,,,250,0.7113,177.83
"9"" x 12""",14PT Natural,4/0 (4 color front),No Coating,,,500,0.4065,203.25
"9"" x 12""",14PT Natural,4/0 (4 color front),No Coating,,,1000,0.2541,254.06
