SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,PRODUCT STYLE ,,DRILL HOLE ,RunSize,UnitPrice,TotalPrice
"2"" x 2""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,250,0.2540,63.50
"2"" x 2""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,500,0.1461,73.04
"2"" x 2""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,1000,0.1080,107.97
"2"" x 2""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",100,0.4446,44.46
"2"" x 2""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",250,0.2540,63.50
"2"" x 2""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",500,0.1461,73.04
"2"" x 2""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",1000,0.1080,107.97
"2"" x 3.5"" (US Standard)",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,100,0.4446,44.46
"2"" x 3.5"" (US Standard)",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,250,0.2540,63.50
"2"" x 3.5"" (US Standard)",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,500,0.1461,73.04
"2"" x 3.5"" (US Standard)",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,1000,0.1080,107.97
"2"" x 3.5"" (US Standard)",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",100,0.4446,44.46
"2"" x 3.5"" (US Standard)",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",250,0.2540,63.50
"2"" x 3.5"" (US Standard)",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",500,0.1461,73.04
"2"" x 3.5"" (US Standard)",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",1000,0.1080,107.97
"2"" x 3.5"" (US Standard)",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,100,0.4129,41.29
"2"" x 3.5"" (US Standard)",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,250,0.2477,61.93
"2"" x 3.5"" (US Standard)",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,500,0.1429,71.45
"2"" x 3.5"" (US Standard)",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,1000,0.1048,104.79
"2"" x 3.5"" (US Standard)",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",100,0.4129,41.29
"2"" x 3.5"" (US Standard)",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",250,0.2477,61.93
"2"" x 3.5"" (US Standard)",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",500,0.1429,71.45
"2"" x 3.5"" (US Standard)",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",1000,0.1048,104.79
"2"" x 3.5"" (US Standard)",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,100,0.4446,44.46
"2"" x 3.5"" (US Standard)",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,250,0.2540,63.50
"2"" x 3.5"" (US Standard)",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,500,0.1461,73.04
"2"" x 3.5"" (US Standard)",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,1000,0.1080,107.97
"2"" x 3.5"" (US Standard)",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",100,0.4446,44.46
"2"" x 3.5"" (US Standard)",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",250,0.2540,63.50
"2"" x 3.5"" (US Standard)",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",500,0.1461,73.04
"2"" x 3.5"" (US Standard)",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",1000,0.1080,107.97
"2"" x 4""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,100,0.4843,48.43
"2"" x 4""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,250,0.2668,66.70
"2"" x 4""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,500,0.1524,76.21
"2"" x 4""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,1000,0.1111,111.15
"2"" x 4""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",100,0.4843,48.43
"2"" x 4""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",250,0.2668,66.70
"2"" x 4""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",500,0.1524,76.21
"2"" x 4""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",1000,0.1111,111.15
"2"" x 4""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,100,0.4843,48.43
"2"" x 4""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,250,0.2540,63.50
"2"" x 4""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,500,0.1493,74.64
"2"" x 4""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,1000,0.1080,107.97
"2"" x 4""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",100,0.4843,48.43
"2"" x 4""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",250,0.2540,63.50
"2"" x 4""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",500,0.1493,74.64
"2"" x 4""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",1000,0.1080,107.97
"2"" x 4""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,100,0.4843,48.43
"2"" x 4""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,250,0.2668,66.70
"2"" x 4""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,500,0.1524,76.21
"2"" x 4""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,1000,0.1111,111.15
"2"" x 4""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",100,0.4843,48.43
"2"" x 4""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",250,0.2668,66.70
"2"" x 4""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",500,0.1524,76.21
"2"" x 4""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",1000,0.1111,111.15
"2"" x 6""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,100,0.6828,68.28
"2"" x 6""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,250,0.3811,95.28
"2"" x 6""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,500,0.2191,109.57
"2"" x 6""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,1000,0.1381,138.14
"2"" x 6""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",100,0.6828,68.28
"2"" x 6""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",250,0.3811,95.28
"2"" x 6""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",500,0.2191,109.57
"2"" x 6""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",1000,0.1381,138.14
"2"" x 6""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,100,0.6350,63.50
"2"" x 6""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,250,0.3493,87.33
"2"" x 6""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,500,0.2064,103.22
"2"" x 6""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,1000,0.1524,152.43
"2"" x 6""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",100,0.6350,63.50
"2"" x 6""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",250,0.3493,87.33
"2"" x 6""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",500,0.2064,103.22
"2"" x 6""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",1000,0.1524,152.43
"2"" x 6""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,100,0.7145,71.45
"2"" x 6""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,250,0.3938,98.46
"2"" x 6""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,500,0.2255,112.73
"2"" x 6""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,1000,0.1413,141.31
"2"" x 6""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",100,0.7145,71.45
"2"" x 6""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",250,0.3938,98.46
"2"" x 6""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",500,0.2255,112.73
"2"" x 6""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",1000,0.1413,141.31
"2.125"" x 5""",Rectangle,14PT Natural,4/1,No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,No Drill Hole,100,0.5572,55.72
"2.125"" x 5""",Rectangle,14PT Natural,4/1,No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,No Drill Hole,250,0.2610,65.25
"2.125"" x 5""",Rectangle,14PT Natural,4/1,No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,No Drill Hole,500,0.1369,68.43
