SIZE ,STOCK ,COLORSPEC ,COATING ,,RunSize,UnitPrice,TotalPrice
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,No Drill Hole,500,0.1366,68.28
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,No Drill Hole,1000,0.1096,109.57
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,"Standard Drill Hole 1/4""",25,2.1247,53.12
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,"Standard Drill Hole 1/4""",50,1.1257,56.29
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,"Standard Drill Hole 1/4""",75,0.8140,61.05
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,"Standard Drill Hole 1/4""",100,0.6582,65.82
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,"Standard Drill Hole 1/4""",250,0.3540,88.50
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,"Standard Drill Hole 1/4""",500,0.2066,103.28
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,"Standard Drill Hole 1/4""",1000,0.1496,149.57
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,"Standard Drill Hole 1/8""",25,2.1247,53.12
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,"Standard Drill Hole 1/8""",50,1.1257,56.29
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,"Standard Drill Hole 1/8""",75,0.8140,61.05
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,"Standard Drill Hole 1/8""",100,0.6582,65.82
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,"Standard Drill Hole 1/8""",250,0.3540,88.50
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,"Standard Drill Hole 1/8""",500,0.2066,103.28
"3.5"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,"Standard Drill Hole 1/8""",1000,0.1496,149.57
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,No Drill Hole,25,1.8419,46.05
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,No Drill Hole,50,0.9846,49.23
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,No Drill Hole,75,0.6986,52.39
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,No Drill Hole,100,0.5716,57.16
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,No Drill Hole,250,0.2922,73.04
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,No Drill Hole,500,0.1588,79.40
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,No Drill Hole,1000,0.1477,147.67
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/4""",25,2.4419,61.05
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/4""",50,1.2846,64.23
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/4""",75,0.8986,67.39
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/4""",100,0.7216,72.16
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/4""",250,0.3922,98.04
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/4""",500,0.2288,114.40
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/4""",1000,0.1877,187.67
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/8""",25,2.4419,61.05
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/8""",50,1.2846,64.23
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/8""",75,0.8986,67.39
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/8""",100,0.7216,72.16
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/8""",250,0.3922,98.04
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/8""",500,0.2288,114.40
"3.5"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/8""",1000,0.1877,187.67
"4"" x 6""",14PT Natural,4/1,No Coating,,25,1.2070,30.18
"4"" x 6""",14PT Natural,4/1,No Coating,,50,0.6511,32.56
"4"" x 6""",14PT Natural,4/1,No Coating,,75,0.5082,38.12
"4"" x 6""",14PT Natural,4/1,No Coating,,100,0.4129,41.29
"4"" x 6""",14PT Natural,4/1,No Coating,,250,0.2033,50.82
"4"" x 6""",14PT Natural,4/1,No Coating,,500,0.1080,53.99
"4"" x 6""",14PT Natural,4/1,No Coating,,1000,0.0969,96.86
"4"" x 6""",14PT Natural,4/0 (4 color front),No Coating,,25,1.2070,30.18
"4"" x 6""",14PT Natural,4/0 (4 color front),No Coating,,50,0.6511,32.56
"4"" x 6""",14PT Natural,4/0 (4 color front),No Coating,,75,0.4763,35.72
"4"" x 6""",14PT Natural,4/0 (4 color front),No Coating,,100,0.3812,38.12
"4"" x 6""",14PT Natural,4/0 (4 color front),No Coating,,250,0.1905,47.63
"4"" x 6""",14PT Natural,4/0 (4 color front),No Coating,,500,0.1016,50.82
"4"" x 6""",14PT Natural,4/0 (4 color front),No Coating,,1000,0.0921,92.10
"4"" x 6""",14PT Natural,4/4 (4 color both sides),No Coating,,25,1.2070,30.18
"4"" x 6""",14PT Natural,4/4 (4 color both sides),No Coating,,50,0.6511,32.56
"4"" x 6""",14PT Natural,4/4 (4 color both sides),No Coating,,75,0.5292,39.69
"4"" x 6""",14PT Natural,4/4 (4 color both sides),No Coating,,100,0.4287,42.87
"4"" x 6""",14PT Natural,4/4 (4 color both sides),No Coating,,250,0.2160,53.99
"4"" x 6""",14PT Natural,4/4 (4 color both sides),No Coating,,500,0.1143,57.16
"4"" x 6""",14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.1000,100.03
"4"" x 8.5""",14PT Natural,4/1,No Coating,,25,1.8419,46.05
"4"" x 8.5""",14PT Natural,4/1,No Coating,,50,0.9846,49.23
"4"" x 8.5""",14PT Natural,4/1,No Coating,,75,0.6986,52.39
"4"" x 8.5""",14PT Natural,4/1,No Coating,,100,0.5716,57.16
"4"" x 8.5""",14PT Natural,4/1,No Coating,,250,0.2795,69.86
"4"" x 8.5""",14PT Natural,4/1,No Coating,,500,0.1588,79.40
"4"" x 8.5""",14PT Natural,4/1,No Coating,,1000,0.1270,127.04
"4"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,,25,1.6514,41.29
"4"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,,50,0.8893,44.46
"4"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,,75,0.6564,49.23
"4"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,,100,0.5239,52.39
"4"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,,250,0.2668,66.70
"4"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,,500,0.1429,71.45
"4"" x 8.5""",14PT Natural,4/0 (4 color front),No Coating,,1000,0.1143,114.33
"4"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,,25,1.9691,49.23
"4"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,,50,1.0479,52.39
"4"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,,75,0.7410,55.57
"4"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,,100,0.6034,60.34
"4"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,,250,0.2986,74.64
"4"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,,500,0.1651,82.57
"4"" x 8.5""",14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.1524,152.43
"4"" x 9""",14PT Natural,4/1,No Coating,,25,1.9691,49.23
"4"" x 9""",14PT Natural,4/1,No Coating,,50,1.0479,52.39
"4"" x 9""",14PT Natural,4/1,No Coating,,75,0.8467,63.50
"4"" x 9""",14PT Natural,4/1,No Coating,,100,0.6510,65.10
"4"" x 9""",14PT Natural,4/1,No Coating,,250,0.3239,80.97
"4"" x 9""",14PT Natural,4/1,No Coating,,500,0.1842,92.10
"4"" x 9""",14PT Natural,4/1,No Coating,,1000,0.1302,130.20
"4"" x 9""",14PT Natural,4/0 (4 color front),No Coating,,25,1.6514,41.29
"4"" x 9""",14PT Natural,4/0 (4 color front),No Coating,,50,0.9526,47.63
"4"" x 9""",14PT Natural,4/0 (4 color front),No Coating,,75,0.7621,57.16
"4"" x 9""",14PT Natural,4/0 (4 color front),No Coating,,100,0.5239,52.39
"4"" x 9""",14PT Natural,4/0 (4 color front),No Coating,,250,0.2604,65.10
"4"" x 9""",14PT Natural,4/0 (4 color front),No Coating,,500,0.1524,76.21
"4"" x 9""",14PT Natural,4/0 (4 color front),No Coating,,1000,0.1175,117.50
"4"" x 9""",14PT Natural,4/4 (4 color both sides),No Coating,,25,2.0958,52.39
"4"" x 9""",14PT Natural,4/4 (4 color both sides),No Coating,,50,1.1751,58.75
"4"" x 9""",14PT Natural,4/4 (4 color both sides),No Coating,,75,0.8893,66.70
"4"" x 9""",14PT Natural,4/4 (4 color both sides),No Coating,,100,0.6986,69.86
"4"" x 9""",14PT Natural,4/4 (4 color both sides),No Coating,,250,0.3430,85.75
"4"" x 9""",14PT Natural,4/4 (4 color both sides),No Coating,,500,0.1906,95.28
"4"" x 9""",14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.1445,144.50
"4.25"" x 11""",14PT Natural,4/1,No Coating,,25,2.3502,58.75
"4.25"" x 11""",14PT Natural,4/1,No Coating,,50,1.3339,66.70
"4.25"" x 11""",14PT Natural,4/1,No Coating,,75,0.9952,74.64
"4.25"" x 11""",14PT Natural,4/1,No Coating,,100,0.8257,82.57
"4.25"" x 11""",14PT Natural,4/1,No Coating,,250,0.4129,103.22
"4.25"" x 11""",14PT Natural,4/1,No Coating,,500,0.2350,117.50
"4.25"" x 11""",14PT Natural,4/1,No Coating,,1000,0.1667,166.72
"4.25"" x 11""",14PT Natural,4/0 (4 color front),No Coating,,25,2.2230,55.57
"4.25"" x 11""",14PT Natural,4/0 (4 color front),No Coating,,50,1.2068,60.34
"4.25"" x 11""",14PT Natural,4/0 (4 color front),No Coating,,75,0.8467,63.50
