SIZE ,SHAPE ,,STOCK ,COLORSPEC ,COATING ,,RunSize,UnitPrice,TotalPrice
"4"" x 6""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,500,0.6272,313.60
"4"" x 6""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,1000,0.4962,496.22
"4"" x 6""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,2500,0.2858,714.54
"4"" x 6""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,5000,0.2036,"1,018.22"
"4"" x 6""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,500,0.6272,313.60
"4"" x 6""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,1000,0.4962,496.22
"4"" x 6""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,2500,0.2858,714.54
"4"" x 6""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,5000,0.2036,"1,018.22"
"4"" x 6""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,500,0.6272,313.60
"4"" x 6""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,1000,0.4962,496.22
"4"" x 6""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,2500,0.2858,714.54
"4"" x 6""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,5000,0.2036,"1,018.22"
"4"" x 6""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,500,0.4002,200.08
"4"" x 6""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,1000,0.2763,276.29
"4"" x 6""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,2500,0.1772,443.01
"4"" x 6""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,5000,0.1277,638.31
"4"" x 6""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,500,0.3938,196.90
"4"" x 6""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,1000,0.2731,273.11
"4"" x 6""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,2500,0.1759,439.83
"4"" x 6""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,5000,0.1270,635.15
"4"" x 6""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,500,0.4922,246.12
