SIZE ,STOCK ,COLORSPEC ,COATING ,,RunSize,UnitPrice,TotalPrice
"8.5"" x 11""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,2500,0.4897,"1,224.23"
"8.5"" x 11""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,5000,0.3109,"1,554.52"
"8.5"" x 11""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,500,1.2099,604.97
"8.5"" x 11""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,1000,0.8860,886.02
"8.5"" x 11""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,2500,0.4897,"1,224.23"
"8.5"" x 11""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,5000,0.3109,"1,554.52"
"8.5"" x 11""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,500,1.2099,604.97
"8.5"" x 11""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,1000,0.8860,886.02
"8.5"" x 11""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,2500,0.4897,"1,224.23"
"8.5"" x 11""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,5000,0.3109,"1,554.52"
"8.5"" x 11""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,500,1.2163,608.15
"8.5"" x 11""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,1000,0.8892,889.20
"8.5"" x 11""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,2500,0.4910,"1,227.43"
"8.5"" x 11""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,5000,0.3115,"1,557.68"
"8.5"" x 11""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,500,1.2099,604.97
"8.5"" x 11""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,1000,0.8860,886.02
