SIZE ,STOCK ,COLORSPEC ,COATING ,,BUSINESS CARD BOX SIZE ,RunSize,UnitPrice,TotalPrice
"3.625"" x 4.875"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 250 2"" x 3.5"" 18PT",250,4.8406,"1,210.16"
"3.625"" x 4.875"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 250 2"" x 3.5"" 18PT",500,2.7104,"1,355.19"
"3.625"" x 4.875"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 250 2"" x 3.5"" 18PT",1000,1.5229,"1,522.89"
"3.625"" x 4.875"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 250 2"" x 3.5"" 18PT",2500,0.9059,"2,264.70"
"3.625"" x 4.875"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 250 2"" x 3.5"" 18PT",5000,0.7140,"3,570.04"
"7.5"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 500 2"" x 3.5"" 14PT",250,5.2334,"1,308.36"
"7.5"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 500 2"" x 3.5"" 14PT",500,2.9310,"1,465.49"
"7.5"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 500 2"" x 3.5"" 14PT",1000,1.6483,"1,648.29"
"7.5"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 500 2"" x 3.5"" 14PT",2500,0.9796,"2,449.02"
"7.5"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,,"Fits 500 2"" x 3.5"" 14PT",5000,0.7720,"3,860.12"
"7.5"" x 3.625"" x 2""",18PT C1S,5/0 (4/0 with Foil on Front),UV Coating Front Only,,"Fits 500 2"" x 3.5"" 14PT",250,5.3785,"1,344.63"
