SIZE ,STOCK ,COLORSPEC ,COATING ,,RunSize,UnitPrice,TotalPrice
"3.5"" x 8.5""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,500,0.7304,365.21
"3.5"" x 8.5""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,1000,0.4938,493.82
"3.5"" x 8.5""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,2500,0.3163,790.76
"3.5"" x 8.5""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,5000,0.2245,"1,122.61"
"3.5"" x 8.5""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,500,0.7272,363.62
"3.5"" x 8.5""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,1000,0.4922,492.24
"3.5"" x 8.5""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,2500,0.3150,787.58
"3.5"" x 8.5""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,5000,0.2242,"1,121.03"
"3.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,500,0.9305,465.24
"3.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,1000,0.7177,717.72
"3.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,2500,0.4090,"1,022.59"
"3.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,5000,0.2639,"1,319.51"
"3.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,500,0.9242,462.08
"3.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,1000,0.7145,714.54
"3.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,2500,0.4078,"1,019.41"
"3.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,5000,0.2633,"1,316.34"
"4"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,500,0.9527,476.35
"4"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,1000,0.6479,647.85
"4"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,2500,0.3925,981.30
"4"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,5000,0.2591,"1,295.70"
"4"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,500,1.1830,591.49
"4"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,1000,0.8058,805.84
"4"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,2500,0.4891,"1,222.65"
"4"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,5000,0.3231,"1,615.66"
"4"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,500,1.1830,591.49
"4"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,1000,0.8058,805.84
"4"" x 9""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,2500,0.4891,"1,222.65"
