SIZE ,STOCK ,COLORSPEC ,COATING ,RunSize,UnitPrice,TotalPrice
"2.5"" x 3.5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,5000,0.0715,357.26
"2.75"" x 8.5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,500,0.4319,215.95
"2.75"" x 8.5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,1000,0.2398,239.77
"2.75"" x 8.5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,2500,0.1327,331.85
"2.75"" x 8.5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,5000,0.0851,425.54
"3"" x 4""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,500,0.3525,176.25
"3"" x 4""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,1000,0.1905,190.54
"3"" x 4""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,2500,0.1029,257.24
"3"" x 4""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,5000,0.0648,323.92
"3"" x 5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,500,0.3652,182.60
"3"" x 5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,1000,0.1985,198.48
"3"" x 5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,2500,0.1048,262.00
"3"" x 5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,5000,0.0661,330.28
"3.5"" x 3.5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,500,0.3525,176.25
"3.5"" x 3.5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,1000,0.1905,190.54
"3.5"" x 3.5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,2500,0.1029,257.24
"3.5"" x 3.5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,5000,0.0648,323.92
"3.667"" x 4.25""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,500,0.3436,171.78
"3.667"" x 4.25""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,1000,0.1862,186.21
"3.667"" x 4.25""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,2500,0.0976,243.95
"3.667"" x 4.25""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,5000,0.0609,304.58
"3.667"" x 8.5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,500,0.4908,245.40
"3.667"" x 8.5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,1000,0.2743,274.27
"3.667"" x 8.5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,2500,0.1432,357.99
"3.667"" x 8.5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,5000,0.0892,446.04
"4"" x 4""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,500,0.3779,188.96
"4"" x 4""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,1000,0.2048,204.84
"4"" x 4""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,2500,0.1073,268.35
"4"" x 4""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,5000,0.0670,335.04
"4"" x 6""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,500,0.4319,215.95
"4"" x 6""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,1000,0.2398,239.77
"4"" x 6""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,2500,0.1327,331.85
"4"" x 6""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,5000,0.0851,425.54
"4"" x 9""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,500,0.5462,273.11
"4"" x 9""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,1000,0.3049,304.87
"4"" x 9""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,2500,0.1594,398.55
"4"" x 9""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,5000,0.0991,495.41
"4.25"" x 5.5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,500,0.4319,215.95
"4.25"" x 5.5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,1000,0.2398,239.77
"4.25"" x 5.5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,2500,0.1327,331.85
"4.25"" x 5.5""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,5000,0.0851,425.54
"4.25"" x 6""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,500,0.3779,188.96
"4.25"" x 6""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,1000,0.2048,204.84
"4.25"" x 6""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,2500,0.1073,268.35
"4.25"" x 6""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,5000,0.0670,335.04
"4.25"" x 11""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,500,0.6733,336.63
"4.25"" x 11""",70lb Sticker with split liner,5/0 (4/0 with Foil on Front),UV Coating Front Only,1000,0.3731,373.15
