SIZE ,STOCK ,COLORSPEC ,COATING ,,SCORING OPTIONS ,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"4.25"" x 11""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Score in Half,Include Envelopes - A2,500,1.2346,617.28
"4.25"" x 11""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Score in Half,Include Envelopes - A2,1000,0.9143,914.26
"4.25"" x 11""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Score in Half,Include Envelopes - A2,2500,0.4973,"1,243.30"
"4.25"" x 11""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Score in Half,Include Envelopes - A2,5000,0.3487,"1,743.47"
"4.25"" x 11""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Score in Half,No Blank Envelopes,500,1.1909,595.45
"4.25"" x 11""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Score in Half,No Blank Envelopes,1000,0.8844,884.44
"4.25"" x 11""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Score in Half,No Blank Envelopes,2500,0.4986,"1,246.47"
"4.25"" x 11""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Score in Half,No Blank Envelopes,5000,0.3138,"1,568.80"
"4.25"" x 11""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Score in Half,Include Envelopes - A2,500,1.2409,620.45
"4.25"" x 11""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Score in Half,Include Envelopes - A2,1000,0.9174,917.44
"4.25"" x 11""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Score in Half,Include Envelopes - A2,2500,0.4986,"1,246.47"
"4.25"" x 11""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Score in Half,Include Envelopes - A2,5000,0.3398,"1,699.00"
"4.25"" x 11""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,Score in Half,No Blank Envelopes,500,1.1846,592.28
"4.25"" x 11""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,Score in Half,No Blank Envelopes,1000,0.8813,881.26
"4.25"" x 11""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,Score in Half,No Blank Envelopes,2500,0.4973,"1,243.30"
"4.25"" x 11""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,Score in Half,No Blank Envelopes,5000,0.3227,"1,613.27"
"4.25"" x 11""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,Score in Half,Include Envelopes - A2,500,1.2346,617.28
"4.25"" x 11""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,Score in Half,Include Envelopes - A2,1000,0.9143,914.26
"4.25"" x 11""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,Score in Half,Include Envelopes - A2,2500,0.4973,"1,243.30"
"4.25"" x 11""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,Score in Half,Include Envelopes - A2,5000,0.3487,"1,743.47"
"4.25"" x 11""",16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,Score in Half,No Blank Envelopes,500,1.1909,595.45
"4.25"" x 11""",16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,Score in Half,No Blank Envelopes,1000,0.8844,884.44
"4.25"" x 11""",16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,Score in Half,No Blank Envelopes,2500,0.4986,"1,246.47"
"4.25"" x 11""",16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,Score in Half,No Blank Envelopes,5000,0.3233,"1,616.44"
"4.25"" x 11""",16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,Score in Half,Include Envelopes - A2,500,1.2409,620.45
"4.25"" x 11""",16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,Score in Half,Include Envelopes - A2,1000,0.9174,917.44
"4.25"" x 11""",16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,Score in Half,Include Envelopes - A2,2500,0.4986,"1,246.47"
"4.25"" x 11""",16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,Score in Half,Include Envelopes - A2,5000,0.3493,"1,746.64"
"4.25"" x 11""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,Score in Half,No Blank Envelopes,500,0.9337,466.83
"4.25"" x 11""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,Score in Half,No Blank Envelopes,1000,0.6177,617.68
"4.25"" x 11""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,Score in Half,No Blank Envelopes,2500,0.3944,986.06
"4.25"" x 11""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,Score in Half,No Blank Envelopes,5000,0.2791,"1,395.72"
"4.25"" x 11""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,Score in Half,Include Envelopes - A2,500,0.9837,491.83
"4.25"" x 11""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,Score in Half,Include Envelopes - A2,1000,0.6507,650.68
"4.25"" x 11""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,Score in Half,Include Envelopes - A2,2500,0.3944,986.06
"4.25"" x 11""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,Score in Half,Include Envelopes - A2,5000,0.3052,"1,525.92"
"4.25"" x 11""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Score in Half,No Blank Envelopes,500,0.9718,485.89
"4.25"" x 11""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Score in Half,No Blank Envelopes,1000,0.6367,636.73
"4.25"" x 11""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Score in Half,No Blank Envelopes,2500,0.3957,989.23
"4.25"" x 11""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Score in Half,No Blank Envelopes,5000,0.2798,"1,398.90"
"4.25"" x 11""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Score in Half,Include Envelopes - A2,500,1.0218,510.89
"4.25"" x 11""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Score in Half,Include Envelopes - A2,1000,0.6697,669.73
"4.25"" x 11""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Score in Half,Include Envelopes - A2,2500,0.3957,989.23
"4.25"" x 11""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Score in Half,Include Envelopes - A2,5000,0.3058,"1,529.10"
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Score in Half,No Blank Envelopes,500,1.0893,544.64
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Score in Half,No Blank Envelopes,1000,0.8336,833.62
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Score in Half,No Blank Envelopes,2500,0.4783,"1,195.66"
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Score in Half,No Blank Envelopes,5000,0.3131,"1,565.62"
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Score in Half,Include Envelopes - A2,500,1.1393,569.64
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Score in Half,Include Envelopes - A2,1000,0.8666,866.62
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Score in Half,Include Envelopes - A2,2500,0.4783,"1,195.66"
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Score in Half,Include Envelopes - A2,5000,0.3392,"1,695.82"
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Score in Half,No Blank Envelopes,500,1.0956,547.80
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Score in Half,No Blank Envelopes,1000,0.8368,836.80
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Score in Half,No Blank Envelopes,2500,0.4795,"1,198.84"
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Score in Half,No Blank Envelopes,5000,0.3138,"1,568.80"
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Score in Half,Include Envelopes - A2,500,1.1456,572.80
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Score in Half,Include Envelopes - A2,1000,0.8698,869.80
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Score in Half,Include Envelopes - A2,2500,0.4795,"1,198.84"
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Score in Half,Include Envelopes - A2,5000,0.3398,"1,699.00"
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Score in Half,No Blank Envelopes,500,1.3616,680.79
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Score in Half,No Blank Envelopes,1000,1.0420,"1,042.02"
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Score in Half,No Blank Envelopes,2500,0.5978,"1,494.57"
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Score in Half,No Blank Envelopes,5000,0.3914,"1,957.03"
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Score in Half,Include Envelopes - A2,500,1.4116,705.79
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Score in Half,Include Envelopes - A2,1000,1.0750,"1,075.02"
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Score in Half,Include Envelopes - A2,2500,0.5978,"1,494.57"
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Score in Half,Include Envelopes - A2,5000,0.4174,"2,087.23"
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Score in Half,No Blank Envelopes,500,1.3616,680.79
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Score in Half,No Blank Envelopes,1000,1.0420,"1,042.02"
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Score in Half,No Blank Envelopes,2500,0.5978,"1,494.57"
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Score in Half,No Blank Envelopes,5000,0.3914,"1,957.03"
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Score in Half,Include Envelopes - A2,500,1.4116,705.79
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Score in Half,Include Envelopes - A2,1000,1.0750,"1,075.02"
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Score in Half,Include Envelopes - A2,2500,0.5978,"1,494.57"
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Score in Half,Include Envelopes - A2,5000,0.4174,"2,087.23"
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Score in Half,No Blank Envelopes,500,1.3616,680.79
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Score in Half,No Blank Envelopes,1000,1.0420,"1,042.02"
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Score in Half,No Blank Envelopes,2500,0.5978,"1,494.57"
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Score in Half,No Blank Envelopes,5000,0.3914,"1,957.03"
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Score in Half,Include Envelopes - A2,500,1.4116,705.79
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Score in Half,Include Envelopes - A2,1000,1.0750,"1,075.02"
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Score in Half,Include Envelopes - A2,2500,0.5978,"1,494.57"
"5.5"" x 8.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Score in Half,Include Envelopes - A2,5000,0.4174,"2,087.23"
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Score in Half,No Blank Envelopes,500,0.9781,489.06
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Score in Half,No Blank Envelopes,1000,0.6685,668.49
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Score in Half,No Blank Envelopes,2500,0.4103,"1,025.75"
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Score in Half,No Blank Envelopes,5000,0.2760,"1,379.85"
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Score in Half,Include Envelopes - A2,500,1.0281,514.06
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Score in Half,Include Envelopes - A2,1000,0.7015,701.49
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Score in Half,Include Envelopes - A2,2500,0.4103,"1,025.75"
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Score in Half,Include Envelopes - A2,5000,0.3020,"1,510.05"
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Score in Half,No Blank Envelopes,500,0.9845,492.24
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Score in Half,No Blank Envelopes,1000,0.6717,671.67
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Score in Half,No Blank Envelopes,2500,0.4116,"1,028.93"
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Score in Half,No Blank Envelopes,5000,0.2766,"1,383.02"
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Score in Half,Include Envelopes - A2,500,1.0345,517.24
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Score in Half,Include Envelopes - A2,1000,0.7047,704.67
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Score in Half,Include Envelopes - A2,2500,0.4116,"1,028.93"
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Score in Half,Include Envelopes - A2,5000,0.3026,"1,513.22"
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,Score in Half,No Blank Envelopes,500,1.2227,611.33
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,Score in Half,No Blank Envelopes,1000,0.8356,835.61
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,Score in Half,No Blank Envelopes,2500,0.5129,"1,282.19"
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,Score in Half,No Blank Envelopes,5000,0.3450,"1,724.81"
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,Score in Half,Include Envelopes - A2,500,1.2727,636.33
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,Score in Half,Include Envelopes - A2,1000,0.8686,868.61
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,Score in Half,Include Envelopes - A2,2500,0.5129,"1,282.19"
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,Score in Half,Include Envelopes - A2,5000,0.3710,"1,855.01"
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,Score in Half,No Blank Envelopes,500,1.2227,611.33
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,Score in Half,No Blank Envelopes,1000,0.8356,835.61
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,Score in Half,No Blank Envelopes,2500,0.5129,"1,282.19"
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,Score in Half,No Blank Envelopes,5000,0.3450,"1,724.81"
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,Score in Half,Include Envelopes - A2,500,1.2727,636.33
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,Score in Half,Include Envelopes - A2,1000,0.8686,868.61
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,Score in Half,Include Envelopes - A2,2500,0.5129,"1,282.19"
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,Score in Half,Include Envelopes - A2,5000,0.3710,"1,855.01"
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,Score in Half,No Blank Envelopes,500,1.2227,611.33
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,Score in Half,No Blank Envelopes,1000,0.8356,835.61
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,Score in Half,No Blank Envelopes,2500,0.5129,"1,282.19"
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,Score in Half,No Blank Envelopes,5000,0.3450,"1,724.81"
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,Score in Half,Include Envelopes - A2,500,1.2727,636.33
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,Score in Half,Include Envelopes - A2,1000,0.8686,868.61
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,Score in Half,Include Envelopes - A2,2500,0.5129,"1,282.19"
"5.5"" x 8.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,Score in Half,Include Envelopes - A2,5000,0.3710,"1,855.01"
"5.5"" x 8.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Score in Half,No Blank Envelopes,500,1.0893,544.64
"5.5"" x 8.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Score in Half,No Blank Envelopes,1000,0.8336,833.62
"5.5"" x 8.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Score in Half,No Blank Envelopes,2500,0.4783,"1,195.66"
"5.5"" x 8.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Score in Half,No Blank Envelopes,5000,0.3131,"1,565.62"
"5.5"" x 8.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Score in Half,Include Envelopes - A2,500,1.1393,569.64
"5.5"" x 8.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Score in Half,Include Envelopes - A2,1000,0.8666,866.62
"5.5"" x 8.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Score in Half,Include Envelopes - A2,2500,0.4783,"1,195.66"
"5.5"" x 8.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Score in Half,Include Envelopes - A2,5000,0.3392,"1,695.82"
"5.5"" x 8.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Score in Half,No Blank Envelopes,500,1.0956,547.80
"5.5"" x 8.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Score in Half,No Blank Envelopes,1000,0.8368,836.80
"5.5"" x 8.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Score in Half,No Blank Envelopes,2500,0.4795,"1,198.84"
"5.5"" x 8.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Score in Half,No Blank Envelopes,5000,0.3138,"1,568.80"
"5.5"" x 8.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Score in Half,Include Envelopes - A2,500,1.1456,572.80
"5.5"" x 8.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Score in Half,Include Envelopes - A2,1000,0.8698,869.80
"5.5"" x 8.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Score in Half,Include Envelopes - A2,2500,0.4795,"1,198.84"
"5.5"" x 8.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Score in Half,Include Envelopes - A2,5000,0.3398,"1,699.00"
"5.5"" x 8.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,Score in Half,No Blank Envelopes,500,1.3616,680.79
"5.5"" x 8.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,Score in Half,No Blank Envelopes,1000,1.0420,"1,042.02"
"5.5"" x 8.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,Score in Half,No Blank Envelopes,2500,0.5978,"1,494.57"
