SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"5"" x 7""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,No Blank Envelopes,5000,0.2248,"1,124.21"
"5"" x 7""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Include Envelopes - A7,500,0.7619,380.96
"5"" x 7""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Include Envelopes - A7,1000,0.5975,597.54
"5"" x 7""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Include Envelopes - A7,2500,0.3551,887.71
"5"" x 7""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Include Envelopes - A7,5000,0.2581,"1,290.31"
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,No Blank Envelopes,500,0.7241,362.03
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,No Blank Envelopes,1000,0.5605,560.51
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,No Blank Envelopes,2500,0.3201,800.27
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,No Blank Envelopes,5000,0.2255,"1,127.38"
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Include Envelopes - A7,500,0.7683,384.13
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Include Envelopes - A7,1000,0.6007,600.71
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Include Envelopes - A7,2500,0.3563,890.87
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Include Envelopes - A7,5000,0.2587,"1,293.48"
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,No Blank Envelopes,500,0.7177,358.86
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,No Blank Envelopes,1000,0.5573,557.34
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,No Blank Envelopes,2500,0.3188,797.11
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,No Blank Envelopes,5000,0.2248,"1,124.21"
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Include Envelopes - A7,500,0.7619,380.96
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Include Envelopes - A7,1000,0.5975,597.54
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Include Envelopes - A7,2500,0.3551,887.71
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Include Envelopes - A7,5000,0.2581,"1,290.31"
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,No Blank Envelopes,500,0.6415,320.74
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,No Blank Envelopes,1000,0.4446,444.61
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,No Blank Envelopes,2500,0.2718,679.60
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,No Blank Envelopes,5000,0.1890,944.78
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Include Envelopes - A7,500,0.6857,342.84
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Include Envelopes - A7,1000,0.4848,484.81
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Include Envelopes - A7,2500,0.3081,770.20
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Include Envelopes - A7,5000,0.2222,"1,110.88"
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,No Blank Envelopes,500,0.6351,317.57
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,No Blank Envelopes,1000,0.4414,441.43
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,No Blank Envelopes,2500,0.2706,676.43
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,No Blank Envelopes,5000,0.1883,941.60
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Include Envelopes - A7,500,0.6793,339.67
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Include Envelopes - A7,1000,0.4816,481.63
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Include Envelopes - A7,2500,0.3068,767.03
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Include Envelopes - A7,5000,0.2215,"1,107.70"
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,No Blank Envelopes,500,0.5653,282.65
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,No Blank Envelopes,1000,0.3843,384.27
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,No Blank Envelopes,2500,0.2477,619.26
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,No Blank Envelopes,5000,0.1766,882.84
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Include Envelopes - A7,500,0.6095,304.75
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Include Envelopes - A7,1000,0.4245,424.47
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Include Envelopes - A7,2500,0.2839,709.86
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Include Envelopes - A7,5000,0.2098,"1,048.94"
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,No Blank Envelopes,500,0.5589,279.46
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,No Blank Envelopes,1000,0.3811,381.08
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,No Blank Envelopes,2500,0.2464,616.10
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,No Blank Envelopes,5000,0.1759,879.68
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,Include Envelopes - A7,500,0.6031,301.56
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,Include Envelopes - A7,1000,0.4213,421.28
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,Include Envelopes - A7,2500,0.2827,706.70
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,Include Envelopes - A7,5000,0.2092,"1,045.78"
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,No Blank Envelopes,500,1.0321,516.06
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,No Blank Envelopes,1000,0.7971,797.11
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,No Blank Envelopes,2500,0.4541,"1,135.32"
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,No Blank Envelopes,5000,0.2931,"1,465.60"
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,Include Envelopes - A9,500,1.1513,575.66
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,Include Envelopes - A9,1000,0.9083,908.31
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,Include Envelopes - A9,2500,0.5533,"1,383.32"
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,Include Envelopes - A9,5000,0.3863,"1,931.60"
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,No Blank Envelopes,500,1.0258,512.88
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,No Blank Envelopes,1000,0.7939,793.93
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,No Blank Envelopes,2500,0.4529,"1,132.14"
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,No Blank Envelopes,5000,0.2925,"1,462.42"
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,Include Envelopes - A9,500,1.1450,572.48
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,Include Envelopes - A9,1000,0.9051,905.13
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,Include Envelopes - A9,2500,0.5521,"1,380.14"
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,Include Envelopes - A9,5000,0.3857,"1,928.42"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,No Blank Envelopes,500,1.0321,516.06
"5.5"" x 8.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,No Blank Envelopes,1000,0.7971,797.11
"5.5"" x 8.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,No Blank Envelopes,2500,0.4541,"1,135.32"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,No Blank Envelopes,5000,0.2931,"1,465.60"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Include Envelopes - A9,500,1.1513,575.66
"5.5"" x 8.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Include Envelopes - A9,1000,0.9083,908.31
"5.5"" x 8.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Include Envelopes - A9,2500,0.5533,"1,383.32"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Include Envelopes - A9,5000,0.3863,"1,931.60"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,No Blank Envelopes,500,1.0258,512.88
"5.5"" x 8.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,No Blank Envelopes,1000,0.7939,793.93
"5.5"" x 8.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,No Blank Envelopes,2500,0.4529,"1,132.14"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,No Blank Envelopes,5000,0.2925,"1,462.42"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Include Envelopes - A9,500,1.1450,572.48
"5.5"" x 8.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Include Envelopes - A9,1000,0.9051,905.13
"5.5"" x 8.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Include Envelopes - A9,2500,0.5521,"1,380.14"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Include Envelopes - A9,5000,0.3857,"1,928.42"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,No Blank Envelopes,500,1.0321,516.06
"5.5"" x 8.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,No Blank Envelopes,1000,0.7971,797.11
"5.5"" x 8.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,No Blank Envelopes,2500,0.4541,"1,135.32"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,No Blank Envelopes,5000,0.2931,"1,465.60"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Include Envelopes - A9,500,1.1513,575.66
"5.5"" x 8.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Include Envelopes - A9,1000,0.9083,908.31
"5.5"" x 8.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Include Envelopes - A9,2500,0.5533,"1,383.32"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Include Envelopes - A9,5000,0.3863,"1,931.60"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,No Blank Envelopes,500,1.0258,512.88
"5.5"" x 8.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,No Blank Envelopes,1000,0.7939,793.93
"5.5"" x 8.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,No Blank Envelopes,2500,0.4529,"1,132.14"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,No Blank Envelopes,5000,0.2925,"1,462.42"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Include Envelopes - A9,500,1.1450,572.48
"5.5"" x 8.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Include Envelopes - A9,1000,0.9051,905.13
"5.5"" x 8.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Include Envelopes - A9,2500,0.5521,"1,380.14"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Include Envelopes - A9,5000,0.3857,"1,928.42"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,No Blank Envelopes,500,0.9210,460.48
"5.5"" x 8.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,No Blank Envelopes,1000,0.6320,631.97
"5.5"" x 8.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,No Blank Envelopes,2500,0.3862,965.42
"5.5"" x 8.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,No Blank Envelopes,5000,0.2560,"1,279.82"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Include Envelopes - A9,500,1.0402,520.08
"5.5"" x 8.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Include Envelopes - A9,1000,0.7432,743.17
"5.5"" x 8.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Include Envelopes - A9,2500,0.4854,"1,213.42"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Include Envelopes - A9,5000,0.3492,"1,745.82"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,No Blank Envelopes,500,0.9146,457.30
"5.5"" x 8.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,No Blank Envelopes,1000,0.6288,628.80
"5.5"" x 8.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,No Blank Envelopes,2500,0.3849,962.25
"5.5"" x 8.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,No Blank Envelopes,5000,0.2553,"1,276.63"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Include Envelopes - A9,500,1.0338,516.90
"5.5"" x 8.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Include Envelopes - A9,1000,0.7400,740.00
"5.5"" x 8.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Include Envelopes - A9,2500,0.4841,"1,210.25"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Include Envelopes - A9,5000,0.3485,"1,742.63"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,No Blank Envelopes,500,0.8130,406.49
"5.5"" x 8.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,No Blank Envelopes,1000,0.5494,549.40
"5.5"" x 8.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,No Blank Envelopes,2500,0.3512,878.08
"5.5"" x 8.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,No Blank Envelopes,5000,0.2496,"1,248.05"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Include Envelopes - A9,500,0.9322,466.09
"5.5"" x 8.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Include Envelopes - A9,1000,0.6606,660.60
"5.5"" x 8.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Include Envelopes - A9,2500,0.4504,"1,126.08"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Include Envelopes - A9,5000,0.3428,"1,714.05"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,No Blank Envelopes,500,0.8066,403.31
"5.5"" x 8.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,No Blank Envelopes,1000,0.5462,546.23
"5.5"" x 8.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,No Blank Envelopes,2500,0.3500,874.92
"5.5"" x 8.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,No Blank Envelopes,5000,0.2490,"1,244.88"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,Include Envelopes - A9,500,0.9258,462.91
"5.5"" x 8.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,Include Envelopes - A9,1000,0.6574,657.43
"5.5"" x 8.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,Include Envelopes - A9,2500,0.4492,"1,122.92"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,Include Envelopes - A9,5000,0.3422,"1,710.88"
"6"" x 6""",Square,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,No Blank Envelopes,500,1.0639,531.93
"6"" x 6""",Square,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,No Blank Envelopes,1000,0.8130,812.98
"6"" x 6""",Square,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,No Blank Envelopes,2500,0.4605,"1,151.19"
"6"" x 6""",Square,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,No Blank Envelopes,5000,0.2963,"1,481.47"
"6"" x 6""",Square,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,Include Envelopes - 6.5X6.5,500,1.1277,563.83
"6"" x 6""",Square,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,Include Envelopes - 6.5X6.5,1000,0.8688,868.78
"6"" x 6""",Square,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,Include Envelopes - 6.5X6.5,2500,0.5265,"1,316.19"
"6"" x 6""",Square,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,Include Envelopes - 6.5X6.5,5000,0.3441,"1,720.27"
"6"" x 6""",Square,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,No Blank Envelopes,500,0.7177,358.86
"6"" x 6""",Square,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,No Blank Envelopes,1000,0.5573,557.34
"6"" x 6""",Square,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,No Blank Envelopes,2500,0.3188,797.11
"6"" x 6""",Square,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,No Blank Envelopes,5000,0.2248,"1,124.21"
"6"" x 6""",Square,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,Include Envelopes - 6.5X6.5,500,0.7815,390.76
"6"" x 6""",Square,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,Include Envelopes - 6.5X6.5,1000,0.6131,613.14
"6"" x 6""",Square,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,Include Envelopes - 6.5X6.5,2500,0.3848,962.11
"6"" x 6""",Square,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,Include Envelopes - 6.5X6.5,5000,0.2726,"1,363.01"
"6"" x 6""",Square,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,No Blank Envelopes,500,1.0639,531.93
"6"" x 6""",Square,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,No Blank Envelopes,1000,0.8130,812.98
"6"" x 6""",Square,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,No Blank Envelopes,2500,0.4605,"1,151.19"
"6"" x 6""",Square,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,No Blank Envelopes,5000,0.2963,"1,481.47"
"6"" x 6""",Square,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Include Envelopes - 6.5X6.5,500,1.1277,563.83
"6"" x 6""",Square,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Include Envelopes - 6.5X6.5,1000,0.8688,868.78
"6"" x 6""",Square,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Include Envelopes - 6.5X6.5,2500,0.5265,"1,316.19"
"6"" x 6""",Square,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Include Envelopes - 6.5X6.5,5000,0.3441,"1,720.27"
"6"" x 6""",Square,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,No Blank Envelopes,500,0.7177,358.86
"6"" x 6""",Square,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,No Blank Envelopes,1000,0.5573,557.34
"6"" x 6""",Square,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,No Blank Envelopes,2500,0.3188,797.11
"6"" x 6""",Square,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,No Blank Envelopes,5000,0.2248,"1,124.21"
"6"" x 6""",Square,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Include Envelopes - 6.5X6.5,500,0.7815,390.76
"6"" x 6""",Square,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Include Envelopes - 6.5X6.5,1000,0.6131,613.14
"6"" x 6""",Square,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Include Envelopes - 6.5X6.5,2500,0.3848,962.11
"6"" x 6""",Square,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Include Envelopes - 6.5X6.5,5000,0.2726,"1,363.01"
"6"" x 6""",Square,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,No Blank Envelopes,500,1.0639,531.93
"6"" x 6""",Square,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,No Blank Envelopes,1000,0.8130,812.98
"6"" x 6""",Square,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,No Blank Envelopes,2500,0.4605,"1,151.19"
"6"" x 6""",Square,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,No Blank Envelopes,5000,0.2963,"1,481.47"
"6"" x 6""",Square,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Include Envelopes - 6.5X6.5,500,1.1277,563.83
"6"" x 6""",Square,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Include Envelopes - 6.5X6.5,1000,0.8688,868.78
"6"" x 6""",Square,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Include Envelopes - 6.5X6.5,2500,0.5265,"1,316.19"
"6"" x 6""",Square,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Include Envelopes - 6.5X6.5,5000,0.3441,"1,720.27"
"6"" x 6""",Square,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,No Blank Envelopes,500,0.7177,358.86
"6"" x 6""",Square,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,No Blank Envelopes,1000,0.5573,557.34
"6"" x 6""",Square,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,No Blank Envelopes,2500,0.3188,797.11
"6"" x 6""",Square,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,No Blank Envelopes,5000,0.2248,"1,124.21"
"6"" x 6""",Square,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Include Envelopes - 6.5X6.5,500,0.7815,390.76
"6"" x 6""",Square,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Include Envelopes - 6.5X6.5,1000,0.6131,613.14
"6"" x 6""",Square,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Include Envelopes - 6.5X6.5,2500,0.3848,962.11
"6"" x 6""",Square,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Include Envelopes - 6.5X6.5,5000,0.2726,"1,363.01"
"6"" x 6""",Square,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,No Blank Envelopes,500,0.9527,476.35
"6"" x 6""",Square,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,No Blank Envelopes,1000,0.6479,647.85
"6"" x 6""",Square,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,No Blank Envelopes,2500,0.3925,981.30
"6"" x 6""",Square,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,No Blank Envelopes,5000,0.2591,"1,295.70"
"6"" x 6""",Square,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Include Envelopes - 6.5X6.5,500,1.0165,508.25
"6"" x 6""",Square,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Include Envelopes - 6.5X6.5,1000,0.7037,703.65
"6"" x 6""",Square,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Include Envelopes - 6.5X6.5,2500,0.4585,"1,146.30"
"6"" x 6""",Square,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Include Envelopes - 6.5X6.5,5000,0.3069,"1,534.50"
"6"" x 6""",Square,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,No Blank Envelopes,500,0.6351,317.57
