SIZE ,SHAPE ,RADIUS OF CORNERS ,STOCK ,COLORSPEC ,COATING ,SPOT UV SIDES ,RunSize,UnitPrice,TotalPrice
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,500,0.1906,95.28
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,1000,0.1159,115.93
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,2500,0.0953,238.18
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,5000,0.0699,349.33
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,500,0.2024,101.22
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,1000,0.1350,134.96
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,2500,0.1016,254.06
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,5000,0.0726,363.22
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,500,0.2024,101.22
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,1000,0.1350,134.96
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,2500,0.1016,254.06
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,5000,0.0726,363.22
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,500,0.2024,101.22
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,1000,0.1350,134.96
