SIZE ,STOCK ,COLORSPEC ,COATING ,SCORING OPTIONS ,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"7"" x 10""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,Score in Half,Include Kraft Envelopes - A7,1000,0.6354,635.40
"7"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,Score in Half,No Blank Envelopes,100,1.2450,124.50
"7"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,Score in Half,No Blank Envelopes,250,0.7356,183.91
"7"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,Score in Half,No Blank Envelopes,500,0.6727,336.33
"7"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,Score in Half,No Blank Envelopes,1000,0.6379,637.95
"7"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,Score in Half,Include Kraft Envelopes - A7,100,1.5250,152.50
"7"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,Score in Half,Include Kraft Envelopes - A7,250,0.9156,228.91
"7"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,Score in Half,Include Kraft Envelopes - A7,500,0.8187,409.33
"7"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,Score in Half,Include Kraft Envelopes - A7,1000,0.7809,780.95
"7"" x 10""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,Score in Half,No Blank Envelopes,100,1.2285,122.85
"7"" x 10""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,Score in Half,No Blank Envelopes,250,0.7225,180.63
"7"" x 10""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,Score in Half,No Blank Envelopes,500,0.6662,333.08
"7"" x 10""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,Score in Half,No Blank Envelopes,1000,0.6069,606.88
"7"" x 10""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,Score in Half,Include Kraft Envelopes - A7,100,1.5085,150.85
"7"" x 10""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,Score in Half,Include Kraft Envelopes - A7,250,0.9025,225.63
"7"" x 10""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,Score in Half,Include Kraft Envelopes - A7,500,0.8122,406.08
"7"" x 10""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,Score in Half,Include Kraft Envelopes - A7,1000,0.7499,749.88
"7"" x 10""",18PT Uncoated Kraft,4/1,No Coating,Score in Half,No Blank Envelopes,100,1.1632,116.32
"7"" x 10""",18PT Uncoated Kraft,4/1,No Coating,Score in Half,No Blank Envelopes,250,0.6898,172.45
"7"" x 10""",18PT Uncoated Kraft,4/1,No Coating,Score in Half,No Blank Envelopes,500,0.6367,318.36
"7"" x 10""",18PT Uncoated Kraft,4/1,No Coating,Score in Half,No Blank Envelopes,1000,0.5889,588.88
"7"" x 10""",18PT Uncoated Kraft,4/1,No Coating,Score in Half,Include Kraft Envelopes - A7,100,1.4432,144.32
"7"" x 10""",18PT Uncoated Kraft,4/1,No Coating,Score in Half,Include Kraft Envelopes - A7,250,0.8698,217.45
"7"" x 10""",18PT Uncoated Kraft,4/1,No Coating,Score in Half,Include Kraft Envelopes - A7,500,0.7827,391.36
"7"" x 10""",18PT Uncoated Kraft,4/1,No Coating,Score in Half,Include Kraft Envelopes - A7,1000,0.7319,731.88
