SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,RunSize,UnitPrice,TotalPrice
"2"" x 3""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,1000,0.0603,60.34
"2"" x 3""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,100,0.1747,17.47
"2"" x 3""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,250,0.0826,20.65
"2"" x 3""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,500,0.0794,39.69
"2"" x 3""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,1000,0.0746,74.64
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,100,0.1507,15.07
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,250,0.0699,17.47
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,500,0.0572,28.58
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,1000,0.0532,53.19
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,100,0.1747,17.47
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,250,0.0826,20.65
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,500,0.0794,39.69
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,1000,0.0746,74.64
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,100,0.1667,16.67
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,250,0.0794,19.85
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,500,0.0683,34.14
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,1000,0.0627,62.73
"2"" x 3.5"" (US Standard)",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,100,0.1747,17.47
