SIZE ,STOCK ,COLORSPEC ,COATING ,RunSize,UnitPrice,TotalPrice
"3.5"" x 8.5""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,250,0.1715,42.87
"3.5"" x 8.5""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,500,0.1715,85.75
"3.5"" x 8.5""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,1000,0.1667,166.72
"3.5"" x 8.5""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,100,0.4287,42.87
"3.5"" x 8.5""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,250,0.2604,65.10
"3.5"" x 8.5""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,500,0.2541,127.04
"3.5"" x 8.5""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,1000,0.2477,247.71
"3.5"" x 8.5""",18PT Uncoated Kraft,4/1,No Coating,100,0.3334,33.34
"3.5"" x 8.5""",18PT Uncoated Kraft,4/1,No Coating,250,0.2033,50.82
"3.5"" x 8.5""",18PT Uncoated Kraft,4/1,No Coating,500,0.1937,96.86
"3.5"" x 8.5""",18PT Uncoated Kraft,4/1,No Coating,1000,0.1874,187.37
