SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,Include Kraft Envelopes - A7,250,0.4214,105.34
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,Include Kraft Envelopes - A7,500,0.3810,190.50
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,Include Kraft Envelopes - A7,1000,0.3732,373.23
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,Include Kraft Envelopes - A9,100,0.6034,60.34
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,Include Kraft Envelopes - A9,250,0.3684,92.10
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,Include Kraft Envelopes - A9,500,0.3621,181.03
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,Include Kraft Envelopes - A9,1000,0.3557,355.68
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,Include Kraft Envelopes - A9,100,0.4129,41.29
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,Include Kraft Envelopes - A9,250,0.2540,63.50
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,Include Kraft Envelopes - A9,500,0.2445,122.27
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,Include Kraft Envelopes - A9,1000,0.2382,238.18
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,Include Kraft Envelopes - A9,100,0.4923,49.23
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,Include Kraft Envelopes - A9,250,0.2986,74.64
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,Include Kraft Envelopes - A9,500,0.2890,144.50
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,Include Kraft Envelopes - A9,1000,0.2826,282.65
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,Include Kraft Envelopes - A9,100,0.4605,46.05
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,Include Kraft Envelopes - A9,250,0.2795,69.86
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,Include Kraft Envelopes - A9,500,0.2731,136.55
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,Include Kraft Envelopes - A9,1000,0.2683,268.35
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,Include Kraft Envelopes - A9,100,0.6034,60.34
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,Include Kraft Envelopes - A9,250,0.3684,92.10
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,Include Kraft Envelopes - A9,500,0.3621,181.03
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,Include Kraft Envelopes - A9,1000,0.3557,355.68
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,Include Kraft Envelopes - A9,100,0.6034,60.34
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,Include Kraft Envelopes - A9,250,0.3684,92.10
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,Include Kraft Envelopes - A9,500,0.3621,181.03
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,Include Kraft Envelopes - A9,1000,0.3557,355.68
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,Include Kraft Envelopes - A9,100,0.3969,39.69
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,Include Kraft Envelopes - A9,250,0.2286,57.16
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,Include Kraft Envelopes - A9,500,0.2255,112.73
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,Include Kraft Envelopes - A9,1000,0.2191,219.12
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,Include Kraft Envelopes - A9,100,0.5082,50.82
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,Include Kraft Envelopes - A9,250,0.3048,76.21
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,Include Kraft Envelopes - A9,500,0.2953,147.67
"5.5"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,Include Kraft Envelopes - A9,1000,0.2922,292.16
"6"" x 6""",Square,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,,100,0.4923,49.23
"6"" x 6""",Square,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,,250,0.2922,73.04
"6"" x 6""",Square,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,,500,0.2858,142.91
"6"" x 6""",Square,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,,1000,0.2811,281.05
"6"" x 6""",Square,18PT Uncoated Kraft,4/0 with White Mask,No Coating,,100,0.3334,33.34
"6"" x 6""",Square,18PT Uncoated Kraft,4/0 with White Mask,No Coating,,250,0.1969,49.23
"6"" x 6""",Square,18PT Uncoated Kraft,4/0 with White Mask,No Coating,,500,0.1937,96.86
"6"" x 6""",Square,18PT Uncoated Kraft,4/0 with White Mask,No Coating,,1000,0.1890,188.96
"6"" x 6""",Square,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,,100,0.3969,39.69
"6"" x 6""",Square,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,,250,0.2350,58.75
"6"" x 6""",Square,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,,500,0.2287,114.33
"6"" x 6""",Square,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,,1000,0.2239,223.89
"6"" x 6""",Square,18PT Uncoated Kraft,4/1,No Coating,,100,0.3812,38.12
"6"" x 6""",Square,18PT Uncoated Kraft,4/1,No Coating,,250,0.2286,57.16
"6"" x 6""",Square,18PT Uncoated Kraft,4/1,No Coating,,500,0.2191,109.57
"6"" x 6""",Square,18PT Uncoated Kraft,4/1,No Coating,,1000,0.2112,211.19
"6"" x 6""",Square,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,,100,0.4923,49.23
"6"" x 6""",Square,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,,250,0.2922,73.04
"6"" x 6""",Square,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,,500,0.2858,142.91
"6"" x 6""",Square,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,,1000,0.2811,281.05
"6"" x 6""",Square,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,,100,0.4923,49.23
"6"" x 6""",Square,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,,250,0.2922,73.04
"6"" x 6""",Square,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,,500,0.2858,142.91
"6"" x 6""",Square,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,,1000,0.2811,281.05
"6"" x 6""",Square,18PT Uncoated Kraft,4/0 (4 color front),No Coating,,100,0.3176,31.76
"6"" x 6""",Square,18PT Uncoated Kraft,4/0 (4 color front),No Coating,,250,0.1905,47.63
"6"" x 6""",Square,18PT Uncoated Kraft,4/0 (4 color front),No Coating,,500,0.1810,90.51
"6"" x 6""",Square,18PT Uncoated Kraft,4/0 (4 color front),No Coating,,1000,0.1747,174.67
"6"" x 6""",Square,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,,100,0.3969,39.69
"6"" x 6""",Square,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,,250,0.2414,60.34
"6"" x 6""",Square,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,,500,0.2350,117.50
"6"" x 6""",Square,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,,1000,0.2302,230.23
