SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"4.25"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,Include Kraft Envelopes - A6,250,0.2223,55.57
"4.25"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,Include Kraft Envelopes - A6,500,0.2128,106.39
"4.25"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,Include Kraft Envelopes - A6,1000,0.2064,206.41
"4.25"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,No Blank Envelopes,100,0.3652,36.52
"4.25"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,No Blank Envelopes,250,0.2223,55.57
"4.25"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,No Blank Envelopes,500,0.2128,106.39
"4.25"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,No Blank Envelopes,1000,0.2064,206.41
"4.25"" x 6""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,Include Kraft Envelopes - A6,100,0.2541,25.41
"4.25"" x 6""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,Include Kraft Envelopes - A6,250,0.1397,34.93
"4.25"" x 6""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,Include Kraft Envelopes - A6,500,0.1334,66.70
"4.25"" x 6""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,Include Kraft Envelopes - A6,1000,0.1286,128.60
"4.25"" x 6""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,No Blank Envelopes,100,0.2541,25.41
"4.25"" x 6""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,No Blank Envelopes,250,0.1397,34.93
"4.25"" x 6""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,No Blank Envelopes,500,0.1334,66.70
"4.25"" x 6""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,No Blank Envelopes,1000,0.1286,128.60
"4.25"" x 6""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,Include Kraft Envelopes - A6,100,0.3018,30.18
"4.25"" x 6""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,Include Kraft Envelopes - A6,250,0.1779,44.46
"4.25"" x 6""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,Include Kraft Envelopes - A6,500,0.1747,87.33
"4.25"" x 6""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,Include Kraft Envelopes - A6,1000,0.1588,158.78
"4.25"" x 6""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,No Blank Envelopes,100,0.3018,30.18
"4.25"" x 6""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,No Blank Envelopes,250,0.1779,44.46
"4.25"" x 6""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,No Blank Envelopes,500,0.1747,87.33
"4.25"" x 6""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,No Blank Envelopes,1000,0.1588,158.78
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,No Blank Envelopes,100,0.4923,49.23
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,No Blank Envelopes,250,0.2922,73.04
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,No Blank Envelopes,500,0.2858,142.91
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,No Blank Envelopes,1000,0.2811,281.05
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,Include Kraft Envelopes - A7,100,0.7723,77.23
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,Include Kraft Envelopes - A7,250,0.4722,118.04
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,Include Kraft Envelopes - A7,500,0.4318,215.91
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,Include Kraft Envelopes - A7,1000,0.4241,424.05
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,No Blank Envelopes,100,0.3334,33.34
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,No Blank Envelopes,250,0.1969,49.23
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,No Blank Envelopes,500,0.1937,96.86
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,No Blank Envelopes,1000,0.1890,188.96
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,Include Kraft Envelopes - A7,100,0.6134,61.34
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,Include Kraft Envelopes - A7,250,0.3769,94.23
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,Include Kraft Envelopes - A7,500,0.3397,169.86
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,Include Kraft Envelopes - A7,1000,0.3320,331.96
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,No Blank Envelopes,100,0.3969,39.69
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,No Blank Envelopes,250,0.2350,58.75
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,No Blank Envelopes,500,0.2287,114.33
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,No Blank Envelopes,1000,0.2239,223.89
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,Include Kraft Envelopes - A7,100,0.6769,67.69
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,Include Kraft Envelopes - A7,250,0.4150,103.75
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,Include Kraft Envelopes - A7,500,0.3747,187.33
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,Include Kraft Envelopes - A7,1000,0.3669,366.89
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,No Blank Envelopes,100,0.3812,38.12
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,No Blank Envelopes,250,0.2286,57.16
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,No Blank Envelopes,500,0.2191,109.57
"5"" x 7""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,No Blank Envelopes,1000,0.2112,211.19
