SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,RunSize,UnitPrice,TotalPrice
"3.5"" x 3.5""",Square,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,250,0.1270,31.76
"3.5"" x 3.5""",Square,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,500,0.1175,58.75
"3.5"" x 3.5""",Square,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,1000,0.1143,114.33
"3.5"" x 3.5""",Square,18PT Uncoated Kraft,4/0 (4 color front),No Coating,100,0.1905,19.05
"3.5"" x 3.5""",Square,18PT Uncoated Kraft,4/0 (4 color front),No Coating,250,0.0889,22.23
"3.5"" x 3.5""",Square,18PT Uncoated Kraft,4/0 (4 color front),No Coating,500,0.0794,39.69
"3.5"" x 3.5""",Square,18PT Uncoated Kraft,4/0 (4 color front),No Coating,1000,0.0730,73.04
"3.5"" x 3.5""",Square,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,100,0.2223,22.23
"3.5"" x 3.5""",Square,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,250,0.1079,26.98
"3.5"" x 3.5""",Square,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,500,0.0953,47.63
"3.5"" x 3.5""",Square,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,1000,0.0921,92.10
"3.5"" x 3.5""",Square,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,100,0.2223,22.23
"3.5"" x 3.5""",Square,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,250,0.1079,26.98
"3.5"" x 3.5""",Square,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,500,0.0953,47.63
"3.5"" x 3.5""",Square,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,1000,0.0953,95.28
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,100,0.2143,21.43
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,250,0.1079,26.98
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,500,0.1016,50.82
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,1000,0.0953,95.28
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,100,0.2065,20.65
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,250,0.1016,25.41
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,500,0.0889,44.46
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,1000,0.0810,80.97
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,100,0.2461,24.61
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,250,0.1397,34.93
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,500,0.1302,65.10
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,1000,0.1016,101.62
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,100,0.2461,24.61
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,250,0.1397,34.93
"3.5"" x 4""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,500,0.1302,65.10
