SIZE ,STOCK ,COLORSPEC ,COATING ,,RunSize,UnitPrice,TotalPrice
"4"" x 10""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,Score in Half,500,0.3621,181.03
"4"" x 10""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,Score in Half,1000,0.3557,355.68
"4"" x 10""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,No Scoring,100,0.6034,60.34
"4"" x 10""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,No Scoring,250,0.3684,92.10
"4"" x 10""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,No Scoring,500,0.3621,181.03
"4"" x 10""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,No Scoring,1000,0.3557,355.68
"4"" x 10""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,Score in Half,100,0.4923,49.23
"4"" x 10""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,Score in Half,250,0.2986,74.64
"4"" x 10""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,Score in Half,500,0.2890,144.50
"4"" x 10""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,Score in Half,1000,0.2826,282.65
"4"" x 10""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,No Scoring,100,0.4923,49.23
"4"" x 10""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,No Scoring,250,0.2986,74.64
"4"" x 10""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,No Scoring,500,0.2890,144.50
"4"" x 10""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,No Scoring,1000,0.2826,282.65
"4"" x 10""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,Score in Half,100,0.4129,41.29
"4"" x 10""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,Score in Half,250,0.2540,63.50
"4"" x 10""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,Score in Half,500,0.2445,122.27
"4"" x 10""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,Score in Half,1000,0.2382,238.18
"4"" x 10""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,No Scoring,100,0.4129,41.29
"4"" x 10""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,No Scoring,250,0.2540,63.50
"4"" x 10""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,No Scoring,500,0.2445,122.27
"4"" x 10""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,No Scoring,1000,0.2382,238.18
"4"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,Score in Half,100,0.6034,60.34
"4"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,Score in Half,250,0.3684,92.10
"4"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,Score in Half,500,0.3621,181.03
"4"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,Score in Half,1000,0.3557,355.68
"4"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,No Scoring,100,0.6034,60.34
"4"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,No Scoring,250,0.3684,92.10
"4"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,No Scoring,500,0.3621,181.03
"4"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,No Scoring,1000,0.3557,355.68
"4"" x 10""",18PT Uncoated Kraft,4/1,No Coating,Score in Half,100,0.4605,46.05
"4"" x 10""",18PT Uncoated Kraft,4/1,No Coating,Score in Half,250,0.2795,69.86
"4"" x 10""",18PT Uncoated Kraft,4/1,No Coating,Score in Half,500,0.2731,136.55
"4"" x 10""",18PT Uncoated Kraft,4/1,No Coating,Score in Half,1000,0.2683,268.35
"4"" x 10""",18PT Uncoated Kraft,4/1,No Coating,No Scoring,100,0.4605,46.05
"4"" x 10""",18PT Uncoated Kraft,4/1,No Coating,No Scoring,250,0.2795,69.86
"4"" x 10""",18PT Uncoated Kraft,4/1,No Coating,No Scoring,500,0.2731,136.55
"4"" x 10""",18PT Uncoated Kraft,4/1,No Coating,No Scoring,1000,0.2683,268.35
"5.5"" x 17""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,,100,1.0162,101.62
"5.5"" x 17""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,,250,0.6351,158.78
"5.5"" x 17""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,,500,0.6288,314.39
"5.5"" x 17""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,,1000,0.6240,624.04
"5.5"" x 17""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,,100,1.2386,123.86
"5.5"" x 17""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,,250,0.7812,195.30
"5.5"" x 17""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,,500,0.7717,385.84
"5.5"" x 17""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,,1000,0.7653,765.35
"5.5"" x 17""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,,100,0.7781,77.81
"5.5"" x 17""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,,250,0.4827,120.68
"5.5"" x 17""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,,500,0.4446,222.30
"5.5"" x 17""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,,1000,0.4287,428.72
"5.5"" x 17""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,,100,1.2386,123.86
"5.5"" x 17""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,,250,0.7812,195.30
"5.5"" x 17""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,,500,0.7717,385.84
"5.5"" x 17""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,,1000,0.7653,765.35
"5.5"" x 17""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,,100,1.0003,100.03
"5.5"" x 17""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,,250,0.6161,154.02
"5.5"" x 17""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,,500,0.5970,298.52
"5.5"" x 17""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,,1000,0.5573,557.34
"5.5"" x 17""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,,100,0.8415,84.15
"5.5"" x 17""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,,250,0.5208,130.20
"5.5"" x 17""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,,500,0.5145,257.24
"5.5"" x 17""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,,1000,0.5081,508.11
"5.5"" x 17""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,,100,1.2386,123.86
"5.5"" x 17""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,,250,0.7812,195.30
"5.5"" x 17""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,,500,0.7717,385.84
"5.5"" x 17""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,,1000,0.7653,765.35
"5.5"" x 17""",18PT Uncoated Kraft,4/1,No Coating,,100,0.9368,93.68
"5.5"" x 17""",18PT Uncoated Kraft,4/1,No Coating,,250,0.5844,146.09
"5.5"" x 17""",18PT Uncoated Kraft,4/1,No Coating,,500,0.5684,284.22
"5.5"" x 17""",18PT Uncoated Kraft,4/1,No Coating,,1000,0.5399,539.87
