SIZE ,STOCK ,COLORSPEC ,COATING ,,RunSize,UnitPrice,TotalPrice
"3.5"" x 8.5""",14PT Pearl Metallic,4/1,No Coating,"Standard Drill Hole 1/8""",1000,0.3242,324.22
"3.5"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,No Drill Hole,25,1.9691,49.23
"3.5"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,No Drill Hole,50,1.0479,52.39
"3.5"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,No Drill Hole,75,0.9739,73.04
"3.5"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,No Drill Hole,100,0.9368,93.68
"3.5"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,No Drill Hole,250,0.4637,115.93
"3.5"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,No Drill Hole,500,0.3208,160.38
"3.5"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,No Drill Hole,1000,0.2953,295.34
"3.5"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/4""",25,2.5691,64.23
"3.5"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/4""",50,1.3479,67.39
"3.5"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/4""",75,1.1739,88.04
"3.5"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/4""",100,1.0868,108.68
"3.5"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/4""",250,0.5637,140.93
"3.5"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/4""",500,0.3908,195.38
"3.5"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/4""",1000,0.3353,335.34
"3.5"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/8""",25,2.5691,64.23
"3.5"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/8""",50,1.3479,67.39
"3.5"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/8""",75,1.1739,88.04
"3.5"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/8""",100,1.0868,108.68
"3.5"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/8""",250,0.5637,140.93
"3.5"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/8""",500,0.3908,195.38
"3.5"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,"Standard Drill Hole 1/8""",1000,0.3353,335.34
"3.5"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,No Drill Hole,25,1.6514,41.29
"3.5"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,No Drill Hole,50,0.8893,44.46
"3.5"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,No Drill Hole,75,0.7834,58.75
"3.5"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,No Drill Hole,100,0.7621,76.21
"3.5"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,No Drill Hole,250,0.3811,95.28
"3.5"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,No Drill Hole,500,0.2858,142.91
"3.5"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,No Drill Hole,1000,0.2779,277.87
"3.5"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,"Standard Drill Hole 1/4""",25,2.2514,56.29
"3.5"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,"Standard Drill Hole 1/4""",50,1.1893,59.46
"3.5"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,"Standard Drill Hole 1/4""",75,0.9834,73.75
"3.5"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,"Standard Drill Hole 1/4""",100,0.9121,91.21
"3.5"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,"Standard Drill Hole 1/4""",250,0.4811,120.28
"3.5"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,"Standard Drill Hole 1/4""",500,0.3558,177.91
"3.5"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,"Standard Drill Hole 1/4""",1000,0.3179,317.87
"3.5"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,"Standard Drill Hole 1/8""",25,2.2514,56.29
"3.5"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,"Standard Drill Hole 1/8""",50,1.1893,59.46
"3.5"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,"Standard Drill Hole 1/8""",75,0.9834,73.75
"3.5"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,"Standard Drill Hole 1/8""",100,0.9121,91.21
"3.5"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,"Standard Drill Hole 1/8""",250,0.4811,120.28
"3.5"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,"Standard Drill Hole 1/8""",500,0.3558,177.91
"3.5"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,"Standard Drill Hole 1/8""",1000,0.3179,317.87
"4"" x 6""",14PT Pearl Metallic,4/1,No Coating,,25,1.5875,39.69
"4"" x 6""",14PT Pearl Metallic,4/1,No Coating,,50,0.8574,42.87
"4"" x 6""",14PT Pearl Metallic,4/1,No Coating,,75,0.8258,61.93
"4"" x 6""",14PT Pearl Metallic,4/1,No Coating,,100,0.7145,71.45
"4"" x 6""",14PT Pearl Metallic,4/1,No Coating,,250,0.3747,93.68
"4"" x 6""",14PT Pearl Metallic,4/1,No Coating,,500,0.2922,146.09
"4"" x 6""",14PT Pearl Metallic,4/1,No Coating,,1000,0.2652,265.18
"4"" x 6""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,25,1.7786,44.46
"4"" x 6""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,50,0.9846,49.23
"4"" x 6""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,75,0.9315,69.86
"4"" x 6""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,100,0.7621,76.21
"4"" x 6""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,250,0.4065,101.62
"4"" x 6""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,500,0.3112,155.61
"4"" x 6""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,1000,0.2731,273.11
"4"" x 6""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,25,1.3337,33.34
"4"" x 6""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,50,0.7624,38.12
"4"" x 6""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,75,0.7410,55.57
"4"" x 6""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,100,0.6350,63.50
"4"" x 6""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,250,0.3493,87.33
"4"" x 6""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,500,0.2763,138.14
"4"" x 6""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,1000,0.2541,254.06
"4"" x 8.5""",14PT Pearl Metallic,4/1,No Coating,,25,1.9691,49.23
"4"" x 8.5""",14PT Pearl Metallic,4/1,No Coating,,50,1.0479,52.39
"4"" x 8.5""",14PT Pearl Metallic,4/1,No Coating,,75,0.9104,68.28
"4"" x 8.5""",14PT Pearl Metallic,4/1,No Coating,,100,0.8733,87.33
"4"" x 8.5""",14PT Pearl Metallic,4/1,No Coating,,250,0.4319,107.97
"4"" x 8.5""",14PT Pearl Metallic,4/1,No Coating,,500,0.3049,152.43
"4"" x 8.5""",14PT Pearl Metallic,4/1,No Coating,,1000,0.2874,287.40
"4"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,25,2.0958,52.39
"4"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,50,1.1115,55.57
"4"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,75,1.0161,76.21
"4"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,100,0.9686,96.86
"4"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,250,0.4764,119.09
"4"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,500,0.3271,163.56
"4"" x 8.5""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,1000,0.2985,298.52
"4"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,25,1.7786,44.46
"4"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,50,0.9526,47.63
"4"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,75,0.8258,61.93
"4"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,100,0.7940,79.40
"4"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,250,0.3938,98.46
"4"" x 8.5""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,500,0.2922,146.09
