SIZE ,SHAPE ,RADIUS OF CORNERS ,STOCK ,COLORSPEC ,COATING ,,,RunSize,UnitPrice,TotalPrice
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/1,No Coating,,,500,0.1334,66.70
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/1,No Coating,,,1000,0.1191,119.09
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,,100,0.3334,33.34
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,,250,0.1779,44.46
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,,500,0.1302,65.10
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,,1000,0.1159,115.93
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,100,0.3652,36.52
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,250,0.1905,47.63
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,500,0.1366,68.28
"1.75"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,1000,0.1239,123.86
"1.75"" x 3.5""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,,25,1.1432,28.58
"1.75"" x 3.5""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,,50,0.6035,30.18
"1.75"" x 3.5""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,,75,0.4235,31.76
"1.75"" x 3.5""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,,100,0.3334,33.34
"1.75"" x 3.5""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,,250,0.1779,44.46
"1.75"" x 3.5""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,,500,0.1270,63.50
"1.75"" x 3.5""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,,1000,0.1159,115.93
"1.75"" x 3.5""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,,25,1.0793,26.98
"1.75"" x 3.5""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,,50,0.5716,28.58
"1.75"" x 3.5""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,,75,0.4023,30.18
"1.75"" x 3.5""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,,100,0.3176,31.76
"1.75"" x 3.5""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,,250,0.1715,42.87
"1.75"" x 3.5""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,,500,0.1239,61.93
"1.75"" x 3.5""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,,1000,0.1127,112.73
"1.75"" x 3.5""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,25,1.2070,30.18
"1.75"" x 3.5""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,50,0.6352,31.76
"1.75"" x 3.5""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,75,0.4446,33.34
"1.75"" x 3.5""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,100,0.3493,34.93
"1.75"" x 3.5""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,250,0.1842,46.05
"1.75"" x 3.5""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,500,0.1302,65.10
"1.75"" x 3.5""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,1000,0.1207,120.68
"2"" x 2""",Square,,14PT Pearl Metallic,4/1,No Coating,,,25,1.1432,28.58
"2"" x 2""",Square,,14PT Pearl Metallic,4/1,No Coating,,,50,0.6035,30.18
"2"" x 2""",Square,,14PT Pearl Metallic,4/1,No Coating,,,75,0.4235,31.76
"2"" x 2""",Square,,14PT Pearl Metallic,4/1,No Coating,,,100,0.3334,33.34
"2"" x 2""",Square,,14PT Pearl Metallic,4/1,No Coating,,,250,0.1779,44.46
"2"" x 2""",Square,,14PT Pearl Metallic,4/1,No Coating,,,500,0.1270,63.50
"2"" x 2""",Square,,14PT Pearl Metallic,4/1,No Coating,,,1000,0.1159,115.93
"2"" x 2""",Square,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,,25,1.0793,26.98
"2"" x 2""",Square,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,,50,0.5716,28.58
"2"" x 2""",Square,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,,75,0.4023,30.18
"2"" x 2""",Square,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,,100,0.3176,31.76
"2"" x 2""",Square,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,,250,0.1715,42.87
"2"" x 2""",Square,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,,500,0.1239,61.93
"2"" x 2""",Square,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,,1000,0.1127,112.73
"2"" x 2""",Square,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,25,1.2070,30.18
"2"" x 2""",Square,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,50,0.6352,31.76
"2"" x 2""",Square,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,75,0.4446,33.34
"2"" x 2""",Square,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,100,0.3493,34.93
"2"" x 2""",Square,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,250,0.1842,46.05
"2"" x 2""",Square,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,500,0.1302,65.10
"2"" x 2""",Square,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,1000,0.1207,120.68
"2"" x 3""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,,25,1.1432,28.58
"2"" x 3""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,,50,0.6035,30.18
"2"" x 3""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,,75,0.4235,31.76
"2"" x 3""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,,100,0.3334,33.34
"2"" x 3""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,,250,0.1779,44.46
"2"" x 3""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,,500,0.1270,63.50
"2"" x 3""",Rectangle,,14PT Pearl Metallic,4/1,No Coating,,,1000,0.1159,115.93
"2"" x 3""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,,25,1.0793,26.98
"2"" x 3""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,,50,0.5716,28.58
"2"" x 3""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,,75,0.4023,30.18
"2"" x 3""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,,100,0.3176,31.76
"2"" x 3""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,,250,0.1715,42.87
"2"" x 3""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,,500,0.1239,61.93
"2"" x 3""",Rectangle,,14PT Pearl Metallic,4/0 (4 color front),No Coating,,,1000,0.1127,112.73
"2"" x 3""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,25,1.2070,30.18
"2"" x 3""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,50,0.6352,31.76
"2"" x 3""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,75,0.4446,33.34
"2"" x 3""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,100,0.3493,34.93
"2"" x 3""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,250,0.1842,46.05
"2"" x 3""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,500,0.1302,65.10
"2"" x 3""",Rectangle,,14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,1000,0.1207,120.68
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,,100,0.3493,34.93
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,,250,0.1842,46.05
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,,500,0.1334,66.70
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,,1000,0.1191,119.09
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,,100,0.3334,33.34
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,,250,0.1779,44.46
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,,500,0.1302,65.10
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,,1000,0.1159,115.93
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,100,0.3652,36.52
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,250,0.1905,47.63
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,500,0.1366,68.28
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,1000,0.1239,123.86
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/1,No Coating,,,100,0.3493,34.93
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/1,No Coating,,,250,0.1842,46.05
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/1,No Coating,,,500,0.1334,66.70
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/1,No Coating,,,1000,0.1191,119.09
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,,100,0.3334,33.34
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,,250,0.1779,44.46
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,,500,0.1302,65.10
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,,1000,0.1159,115.93
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,100,0.3652,36.52
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,250,0.1905,47.63
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,500,0.1366,68.28
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,1000,0.1239,123.86
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,,100,0.3493,34.93
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,,250,0.1842,46.05
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,,500,0.1334,66.70
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,,1000,0.1191,119.09
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,,100,0.3334,33.34
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,,250,0.1779,44.46
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,,500,0.1302,65.10
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,,1000,0.1159,115.93
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,100,0.3652,36.52
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,250,0.1905,47.63
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,500,0.1366,68.28
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,,1000,0.1239,123.86
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/1,No Coating,,,100,0.3493,34.93
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/1,No Coating,,,250,0.1842,46.05
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/1,No Coating,,,500,0.1334,66.70
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/1,No Coating,,,1000,0.1191,119.09
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,,100,0.3334,33.34
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,,250,0.1779,44.46
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,,500,0.1302,65.10
