SIZE ,SHAPE ,,STOCK ,COLORSPEC ,COATING ,,LAMINATION ,FOIL COLOR ,RunSize,UnitPrice,TotalPrice
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silk,Gold Foil,2500,0.2847,711.64
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silk,Gold Foil,5000,0.2376,"1,188.00"
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Silk,Red Foil,500,0.5399,269.94
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Silk,Red Foil,1000,0.2988,298.81
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Silk,Red Foil,2500,0.2847,711.64
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Silk,Red Foil,5000,0.2376,"1,188.00"
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Silk,Black Foil,500,0.5399,269.94
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Silk,Black Foil,1000,0.2988,298.81
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Silk,Black Foil,2500,0.2847,711.64
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Silk,Black Foil,5000,0.2376,"1,188.00"
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Silk,Rose Gold Foil,500,0.5399,269.94
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Silk,Rose Gold Foil,1000,0.2988,298.81
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Silk,Rose Gold Foil,2500,0.2847,711.64
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Silk,Rose Gold Foil,5000,0.2376,"1,188.00"
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,Silk,Blue Foil,500,0.5399,269.94
