SIZE ,STOCK ,COLORSPEC ,COATING ,,FOIL COLOR ,RunSize,UnitPrice,TotalPrice
"2.5"" x 3.5""",14PT Uncoated,5/1 (4/1 with Foil on Front),No Coating,,Copper Foil,5000,0.0859,429.36
"2.5"" x 3.5""",14PT Uncoated,5/1 (4/1 with Foil on Front),No Coating,,Rose Gold Foil,500,0.1677,83.84
"2.5"" x 3.5""",14PT Uncoated,5/1 (4/1 with Foil on Front),No Coating,,Rose Gold Foil,1000,0.0965,96.53
"2.5"" x 3.5""",14PT Uncoated,5/1 (4/1 with Foil on Front),No Coating,,Rose Gold Foil,2500,0.0904,226.11
"2.5"" x 3.5""",14PT Uncoated,5/1 (4/1 with Foil on Front),No Coating,,Rose Gold Foil,5000,0.0859,429.36
"2.5"" x 3.5""",14PT Uncoated,5/1 (4/1 with Foil on Front),No Coating,,Blue Foil,500,0.1677,83.84
"2.5"" x 3.5""",14PT Uncoated,5/1 (4/1 with Foil on Front),No Coating,,Blue Foil,1000,0.0965,96.53
"2.5"" x 3.5""",14PT Uncoated,5/1 (4/1 with Foil on Front),No Coating,,Blue Foil,2500,0.0904,226.11
"2.5"" x 3.5""",14PT Uncoated,5/1 (4/1 with Foil on Front),No Coating,,Blue Foil,5000,0.0859,429.36
"2.5"" x 3.5""",14PT Uncoated,5/1 (4/1 with Foil on Front),No Coating,,Gold Foil,500,0.1677,83.84
"2.5"" x 3.5""",14PT Uncoated,5/1 (4/1 with Foil on Front),No Coating,,Gold Foil,1000,0.0965,96.53
"2.5"" x 3.5""",14PT Uncoated,5/1 (4/1 with Foil on Front),No Coating,,Gold Foil,2500,0.0904,226.11
"2.5"" x 3.5""",14PT Uncoated,5/1 (4/1 with Foil on Front),No Coating,,Gold Foil,5000,0.0859,429.36
"2.5"" x 3.5""",14PT Uncoated,5/5 (4/4 with Foil on Both Sides),No Coating,,Silver Foil,500,0.2254,112.71
"2.5"" x 3.5""",14PT Uncoated,5/5 (4/4 with Foil on Both Sides),No Coating,,Silver Foil,1000,0.1254,125.41
"2.5"" x 3.5""",14PT Uncoated,5/5 (4/4 with Foil on Both Sides),No Coating,,Silver Foil,2500,0.1154,288.47
"2.5"" x 3.5""",14PT Uncoated,5/5 (4/4 with Foil on Both Sides),No Coating,,Silver Foil,5000,0.1078,539.07
"2.5"" x 3.5""",14PT Uncoated,5/5 (4/4 with Foil on Both Sides),No Coating,,Red Foil,500,0.2254,112.71
"2.5"" x 3.5""",14PT Uncoated,5/5 (4/4 with Foil on Both Sides),No Coating,,Red Foil,1000,0.1254,125.41
"2.5"" x 3.5""",14PT Uncoated,5/5 (4/4 with Foil on Both Sides),No Coating,,Red Foil,2500,0.1154,288.47
"2.5"" x 3.5""",14PT Uncoated,5/5 (4/4 with Foil on Both Sides),No Coating,,Red Foil,5000,0.1078,539.07
"2.5"" x 3.5""",14PT Uncoated,5/5 (4/4 with Foil on Both Sides),No Coating,,Black Foil,500,0.2254,112.71
"2.5"" x 3.5""",14PT Uncoated,5/5 (4/4 with Foil on Both Sides),No Coating,,Black Foil,1000,0.1254,125.41
"2.5"" x 3.5""",14PT Uncoated,5/5 (4/4 with Foil on Both Sides),No Coating,,Black Foil,2500,0.1154,288.47
"2.5"" x 3.5""",14PT Uncoated,5/5 (4/4 with Foil on Both Sides),No Coating,,Black Foil,5000,0.1078,539.07
"2.5"" x 3.5""",14PT Uncoated,5/5 (4/4 with Foil on Both Sides),No Coating,,Copper Foil,500,0.2254,112.71
"2.5"" x 3.5""",14PT Uncoated,5/5 (4/4 with Foil on Both Sides),No Coating,,Copper Foil,1000,0.1254,125.41
"2.5"" x 3.5""",14PT Uncoated,5/5 (4/4 with Foil on Both Sides),No Coating,,Copper Foil,2500,0.1154,288.47
"2.5"" x 3.5""",14PT Uncoated,5/5 (4/4 with Foil on Both Sides),No Coating,,Copper Foil,5000,0.1078,539.07
"2.5"" x 3.5""",14PT Uncoated,5/5 (4/4 with Foil on Both Sides),No Coating,,Rose Gold Foil,500,0.2254,112.71
"2.5"" x 3.5""",14PT Uncoated,5/5 (4/4 with Foil on Both Sides),No Coating,,Rose Gold Foil,1000,0.1254,125.41
"2.5"" x 3.5""",14PT Uncoated,5/5 (4/4 with Foil on Both Sides),No Coating,,Rose Gold Foil,2500,0.1154,288.47
"2.5"" x 3.5""",14PT Uncoated,5/5 (4/4 with Foil on Both Sides),No Coating,,Rose Gold Foil,5000,0.1078,539.07
"2.5"" x 3.5""",14PT Uncoated,5/5 (4/4 with Foil on Both Sides),No Coating,,Blue Foil,500,0.2254,112.71
"2.5"" x 3.5""",14PT Uncoated,5/5 (4/4 with Foil on Both Sides),No Coating,,Blue Foil,1000,0.1254,125.41
"2.5"" x 3.5""",14PT Uncoated,5/5 (4/4 with Foil on Both Sides),No Coating,,Blue Foil,2500,0.1154,288.47
"2.5"" x 3.5""",14PT Uncoated,5/5 (4/4 with Foil on Both Sides),No Coating,,Blue Foil,5000,0.1078,539.07
"2.5"" x 3.5""",14PT Uncoated,5/5 (4/4 with Foil on Both Sides),No Coating,,Gold Foil,500,0.2254,112.71
"2.5"" x 3.5""",14PT Uncoated,5/5 (4/4 with Foil on Both Sides),No Coating,,Gold Foil,1000,0.1254,125.41
"2.5"" x 3.5""",14PT Uncoated,5/5 (4/4 with Foil on Both Sides),No Coating,,Gold Foil,2500,0.1154,288.47
"2.5"" x 3.5""",14PT Uncoated,5/5 (4/4 with Foil on Both Sides),No Coating,,Gold Foil,5000,0.1078,539.07
"2.5"" x 3.5""",14PT Uncoated,5/0 (4/0 with Foil on Front),No Coating,,Silver Foil,500,0.1677,83.84
"2.5"" x 3.5""",14PT Uncoated,5/0 (4/0 with Foil on Front),No Coating,,Silver Foil,1000,0.0965,96.53
"2.5"" x 3.5""",14PT Uncoated,5/0 (4/0 with Foil on Front),No Coating,,Silver Foil,2500,0.0904,226.11
"2.5"" x 3.5""",14PT Uncoated,5/0 (4/0 with Foil on Front),No Coating,,Silver Foil,5000,0.0859,429.36
"2.5"" x 3.5""",14PT Uncoated,5/0 (4/0 with Foil on Front),No Coating,,Red Foil,500,0.1677,83.84
"2.5"" x 3.5""",14PT Uncoated,5/0 (4/0 with Foil on Front),No Coating,,Red Foil,1000,0.0965,96.53
"2.5"" x 3.5""",14PT Uncoated,5/0 (4/0 with Foil on Front),No Coating,,Red Foil,2500,0.0904,226.11
"2.5"" x 3.5""",14PT Uncoated,5/0 (4/0 with Foil on Front),No Coating,,Red Foil,5000,0.0859,429.36
"2.5"" x 3.5""",14PT Uncoated,5/0 (4/0 with Foil on Front),No Coating,,Black Foil,500,0.1677,83.84
"2.5"" x 3.5""",14PT Uncoated,5/0 (4/0 with Foil on Front),No Coating,,Black Foil,1000,0.0965,96.53
"2.5"" x 3.5""",14PT Uncoated,5/0 (4/0 with Foil on Front),No Coating,,Black Foil,2500,0.0904,226.11
"2.5"" x 3.5""",14PT Uncoated,5/0 (4/0 with Foil on Front),No Coating,,Black Foil,5000,0.0859,429.36
"2.5"" x 3.5""",14PT Uncoated,5/0 (4/0 with Foil on Front),No Coating,,Copper Foil,500,0.1677,83.84
"2.5"" x 3.5""",14PT Uncoated,5/0 (4/0 with Foil on Front),No Coating,,Copper Foil,1000,0.0965,96.53
"2.5"" x 3.5""",14PT Uncoated,5/0 (4/0 with Foil on Front),No Coating,,Copper Foil,2500,0.0904,226.11
"2.5"" x 3.5""",14PT Uncoated,5/0 (4/0 with Foil on Front),No Coating,,Copper Foil,5000,0.0859,429.36
"2.5"" x 3.5""",14PT Uncoated,5/0 (4/0 with Foil on Front),No Coating,,Rose Gold Foil,500,0.1677,83.84
"2.5"" x 3.5""",14PT Uncoated,5/0 (4/0 with Foil on Front),No Coating,,Rose Gold Foil,1000,0.0965,96.53
"2.5"" x 3.5""",14PT Uncoated,5/0 (4/0 with Foil on Front),No Coating,,Rose Gold Foil,2500,0.0904,226.11
"2.5"" x 3.5""",14PT Uncoated,5/0 (4/0 with Foil on Front),No Coating,,Rose Gold Foil,5000,0.0859,429.36
"2.5"" x 3.5""",14PT Uncoated,5/0 (4/0 with Foil on Front),No Coating,,Blue Foil,500,0.1677,83.84
"2.5"" x 3.5""",14PT Uncoated,5/0 (4/0 with Foil on Front),No Coating,,Blue Foil,1000,0.0965,96.53
"2.5"" x 3.5""",14PT Uncoated,5/0 (4/0 with Foil on Front),No Coating,,Blue Foil,2500,0.0904,226.11
"2.5"" x 3.5""",14PT Uncoated,5/0 (4/0 with Foil on Front),No Coating,,Blue Foil,5000,0.0859,429.36
"2.5"" x 3.5""",14PT Uncoated,5/0 (4/0 with Foil on Front),No Coating,,Gold Foil,500,0.1677,83.84
"2.5"" x 3.5""",14PT Uncoated,5/0 (4/0 with Foil on Front),No Coating,,Gold Foil,1000,0.0965,96.53
"2.5"" x 3.5""",14PT Uncoated,5/0 (4/0 with Foil on Front),No Coating,,Gold Foil,2500,0.0904,226.11
"2.5"" x 3.5""",14PT Uncoated,5/0 (4/0 with Foil on Front),No Coating,,Gold Foil,5000,0.0859,429.36
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silver Foil,500,0.2636,131.80
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silver Foil,1000,0.1477,147.67
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silver Foil,2500,0.1435,358.86
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silver Foil,5000,0.1254,627.21
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Red Foil,500,0.2636,131.80
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Red Foil,1000,0.1477,147.67
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Red Foil,2500,0.1435,358.86
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Red Foil,5000,0.1254,627.21
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Black Foil,500,0.2636,131.80
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Black Foil,1000,0.1477,147.67
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Black Foil,2500,0.1435,358.86
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Black Foil,5000,0.1254,627.21
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Copper Foil,500,0.2636,131.80
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Copper Foil,1000,0.1477,147.67
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Copper Foil,2500,0.1435,358.86
