SIZE ,SHAPE ,,STOCK ,COLORSPEC ,COATING ,EDGE COLOR ,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Purple,No Blank Envelopes,250,0.7062,176.55
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Purple,No Blank Envelopes,500,0.4414,220.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Purple,No Blank Envelopes,1000,0.3248,324.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Purple,Include Envelopes - A2,250,0.7842,196.05
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Purple,Include Envelopes - A2,500,0.4914,245.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Purple,Include Envelopes - A2,1000,0.3578,357.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Blue,No Blank Envelopes,250,0.7062,176.55
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Blue,No Blank Envelopes,500,0.4414,220.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Blue,No Blank Envelopes,1000,0.3248,324.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Blue,Include Envelopes - A2,250,0.7842,196.05
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Blue,Include Envelopes - A2,500,0.4914,245.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Blue,Include Envelopes - A2,1000,0.3578,357.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Red,No Blank Envelopes,250,0.7062,176.55
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Red,No Blank Envelopes,500,0.4414,220.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Red,No Blank Envelopes,1000,0.3248,324.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Red,Include Envelopes - A2,250,0.7842,196.05
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Red,Include Envelopes - A2,500,0.4914,245.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Red,Include Envelopes - A2,1000,0.3578,357.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Black,No Blank Envelopes,250,0.7062,176.55
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Black,No Blank Envelopes,500,0.4414,220.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Black,No Blank Envelopes,1000,0.3248,324.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Black,Include Envelopes - A2,250,0.7842,196.05
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Black,Include Envelopes - A2,500,0.4914,245.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Black,Include Envelopes - A2,1000,0.3578,357.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,White (Not Painted),No Blank Envelopes,250,0.7062,176.55
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,White (Not Painted),No Blank Envelopes,500,0.4414,220.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,White (Not Painted),No Blank Envelopes,1000,0.3248,324.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,White (Not Painted),Include Envelopes - A2,250,0.7842,196.05
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,White (Not Painted),Include Envelopes - A2,500,0.4914,245.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,White (Not Painted),Include Envelopes - A2,1000,0.3578,357.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Yellow,No Blank Envelopes,250,0.7062,176.55
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Yellow,No Blank Envelopes,500,0.4414,220.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Yellow,No Blank Envelopes,1000,0.3248,324.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Yellow,Include Envelopes - A2,250,0.7842,196.05
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Yellow,Include Envelopes - A2,500,0.4914,245.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Yellow,Include Envelopes - A2,1000,0.3578,357.80
