SIZE ,SHAPE ,,STOCK ,COLORSPEC ,COATING ,EDGE COLOR ,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Pink,No Blank Envelopes,500,0.4362,218.12
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Pink,No Blank Envelopes,1000,0.3176,317.57
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Pink,Include Envelopes - A2,250,0.7760,193.99
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Pink,Include Envelopes - A2,500,0.4862,243.12
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Pink,Include Envelopes - A2,1000,0.3506,350.57
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Orange,No Blank Envelopes,250,0.6980,174.49
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Orange,No Blank Envelopes,500,0.4362,218.12
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Orange,No Blank Envelopes,1000,0.3176,317.57
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Orange,Include Envelopes - A2,250,0.7760,193.99
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Orange,Include Envelopes - A2,500,0.4862,243.12
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Orange,Include Envelopes - A2,1000,0.3506,350.57
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Orange,No Blank Envelopes,250,0.6980,174.49
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Orange,No Blank Envelopes,500,0.4362,218.12
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Orange,No Blank Envelopes,1000,0.3176,317.57
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Orange,Include Envelopes - A2,250,0.7760,193.99
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Orange,Include Envelopes - A2,500,0.4862,243.12
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Orange,Include Envelopes - A2,1000,0.3506,350.57
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Hot Pink,No Blank Envelopes,250,0.7062,176.55
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Hot Pink,No Blank Envelopes,500,0.4414,220.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Hot Pink,No Blank Envelopes,1000,0.3248,324.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Hot Pink,Include Envelopes - A2,250,0.7842,196.05
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Hot Pink,Include Envelopes - A2,500,0.4914,245.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Hot Pink,Include Envelopes - A2,1000,0.3578,357.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Green,No Blank Envelopes,250,0.7062,176.55
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Green,No Blank Envelopes,500,0.4414,220.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Green,No Blank Envelopes,1000,0.3248,324.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Green,Include Envelopes - A2,250,0.7842,196.05
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Green,Include Envelopes - A2,500,0.4914,245.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Green,Include Envelopes - A2,1000,0.3578,357.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Gold,No Blank Envelopes,250,0.7062,176.55
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Gold,No Blank Envelopes,500,0.4414,220.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Gold,No Blank Envelopes,1000,0.3248,324.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Gold,Include Envelopes - A2,250,0.7842,196.05
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Gold,Include Envelopes - A2,500,0.4914,245.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Gold,Include Envelopes - A2,1000,0.3578,357.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Blue,No Blank Envelopes,250,0.7062,176.55
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Blue,No Blank Envelopes,500,0.4414,220.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Blue,No Blank Envelopes,1000,0.3248,324.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Blue,Include Envelopes - A2,250,0.7842,196.05
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Blue,Include Envelopes - A2,500,0.4914,245.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Blue,Include Envelopes - A2,1000,0.3578,357.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Yellow,No Blank Envelopes,250,0.7062,176.55
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Yellow,No Blank Envelopes,500,0.4414,220.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Yellow,No Blank Envelopes,1000,0.3248,324.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Yellow,Include Envelopes - A2,250,0.7842,196.05
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Yellow,Include Envelopes - A2,500,0.4914,245.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Yellow,Include Envelopes - A2,1000,0.3578,357.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Brown,No Blank Envelopes,250,0.7062,176.55
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Brown,No Blank Envelopes,500,0.4414,220.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Brown,No Blank Envelopes,1000,0.3248,324.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Brown,Include Envelopes - A2,250,0.7842,196.05
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Brown,Include Envelopes - A2,500,0.4914,245.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Brown,Include Envelopes - A2,1000,0.3578,357.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Purple,No Blank Envelopes,250,0.7062,176.55
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Purple,No Blank Envelopes,500,0.4414,220.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Purple,No Blank Envelopes,1000,0.3248,324.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Purple,Include Envelopes - A2,250,0.7842,196.05
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Purple,Include Envelopes - A2,500,0.4914,245.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Purple,Include Envelopes - A2,1000,0.3578,357.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Blue,No Blank Envelopes,250,0.7062,176.55
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Blue,No Blank Envelopes,500,0.4414,220.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Blue,No Blank Envelopes,1000,0.3248,324.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Blue,Include Envelopes - A2,250,0.7842,196.05
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Blue,Include Envelopes - A2,500,0.4914,245.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Blue,Include Envelopes - A2,1000,0.3578,357.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Red,No Blank Envelopes,250,0.7062,176.55
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Red,No Blank Envelopes,500,0.4414,220.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Red,No Blank Envelopes,1000,0.3248,324.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Red,Include Envelopes - A2,250,0.7842,196.05
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Red,Include Envelopes - A2,500,0.4914,245.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Red,Include Envelopes - A2,1000,0.3578,357.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Black,No Blank Envelopes,250,0.7062,176.55
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Black,No Blank Envelopes,500,0.4414,220.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Black,No Blank Envelopes,1000,0.3248,324.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Black,Include Envelopes - A2,250,0.7842,196.05
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Black,Include Envelopes - A2,500,0.4914,245.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Black,Include Envelopes - A2,1000,0.3578,357.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,White (Not Painted),No Blank Envelopes,250,0.7062,176.55
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,White (Not Painted),No Blank Envelopes,500,0.4414,220.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,White (Not Painted),No Blank Envelopes,1000,0.3248,324.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,White (Not Painted),Include Envelopes - A2,250,0.7842,196.05
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,White (Not Painted),Include Envelopes - A2,500,0.4914,245.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,White (Not Painted),Include Envelopes - A2,1000,0.3578,357.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Yellow,No Blank Envelopes,250,0.7062,176.55
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Yellow,No Blank Envelopes,500,0.4414,220.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Yellow,No Blank Envelopes,1000,0.3248,324.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Yellow,Include Envelopes - A2,250,0.7842,196.05
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Yellow,Include Envelopes - A2,500,0.4914,245.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Yellow,Include Envelopes - A2,1000,0.3578,357.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Turquoise,No Blank Envelopes,250,0.7062,176.55
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Turquoise,No Blank Envelopes,500,0.4414,220.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Turquoise,No Blank Envelopes,1000,0.3248,324.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Turquoise,Include Envelopes - A2,250,0.7842,196.05
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Turquoise,Include Envelopes - A2,500,0.4914,245.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Turquoise,Include Envelopes - A2,1000,0.3578,357.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Purple,No Blank Envelopes,250,0.7062,176.55
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Purple,No Blank Envelopes,500,0.4414,220.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Purple,No Blank Envelopes,1000,0.3248,324.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Purple,Include Envelopes - A2,250,0.7842,196.05
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Purple,Include Envelopes - A2,500,0.4914,245.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Purple,Include Envelopes - A2,1000,0.3578,357.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Pink,No Blank Envelopes,250,0.7062,176.55
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Pink,No Blank Envelopes,500,0.4414,220.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Pink,No Blank Envelopes,1000,0.3248,324.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Pink,Include Envelopes - A2,250,0.7842,196.05
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Pink,Include Envelopes - A2,500,0.4914,245.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Pink,Include Envelopes - A2,1000,0.3578,357.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Orange,No Blank Envelopes,250,0.7062,176.55
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Orange,No Blank Envelopes,500,0.4414,220.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Orange,No Blank Envelopes,1000,0.3248,324.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Orange,Include Envelopes - A2,250,0.7842,196.05
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Orange,Include Envelopes - A2,500,0.4914,245.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Orange,Include Envelopes - A2,1000,0.3578,357.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Orange,No Blank Envelopes,250,0.7062,176.55
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Orange,No Blank Envelopes,500,0.4414,220.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Orange,No Blank Envelopes,1000,0.3248,324.80
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Orange,Include Envelopes - A2,250,0.7842,196.05
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Orange,Include Envelopes - A2,500,0.4914,245.69
"4.25"" x 5.5""",Rectangle,,32PT Uncoated,4/1,No Coating,Metallic Orange,Include Envelopes - A2,1000,0.3578,357.80
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Hot Pink,No Blank Envelopes,250,0.7703,192.58
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Hot Pink,No Blank Envelopes,500,0.4815,240.75
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Hot Pink,No Blank Envelopes,1000,0.3609,360.88
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Hot Pink,Include Envelopes - A6,250,0.7703,192.58
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Hot Pink,Include Envelopes - A6,500,0.5341,267.05
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Hot Pink,Include Envelopes - A6,1000,0.4045,404.48
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Green,No Blank Envelopes,250,0.7703,192.58
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Green,No Blank Envelopes,500,0.4815,240.75
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Green,No Blank Envelopes,1000,0.3609,360.88
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Green,Include Envelopes - A6,250,0.7703,192.58
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Green,Include Envelopes - A6,500,0.5341,267.05
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Green,Include Envelopes - A6,1000,0.4045,404.48
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Gold,No Blank Envelopes,250,0.7703,192.58
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Gold,No Blank Envelopes,500,0.4815,240.75
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Gold,No Blank Envelopes,1000,0.3609,360.88
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Gold,Include Envelopes - A6,250,0.7703,192.58
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Gold,Include Envelopes - A6,500,0.5341,267.05
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Gold,Include Envelopes - A6,1000,0.4045,404.48
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Blue,No Blank Envelopes,250,0.7703,192.58
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Blue,No Blank Envelopes,500,0.4815,240.75
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Blue,No Blank Envelopes,1000,0.3609,360.88
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Blue,Include Envelopes - A6,250,0.7703,192.58
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Blue,Include Envelopes - A6,500,0.5341,267.05
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Blue,Include Envelopes - A6,1000,0.4045,404.48
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Yellow,No Blank Envelopes,250,0.7703,192.58
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Yellow,No Blank Envelopes,500,0.4815,240.75
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Yellow,No Blank Envelopes,1000,0.3609,360.88
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Yellow,Include Envelopes - A6,250,0.7703,192.58
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Yellow,Include Envelopes - A6,500,0.5341,267.05
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Yellow,Include Envelopes - A6,1000,0.4045,404.48
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Brown,No Blank Envelopes,250,0.7703,192.58
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Brown,No Blank Envelopes,500,0.4815,240.75
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Brown,No Blank Envelopes,1000,0.3609,360.88
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Brown,Include Envelopes - A6,250,0.7703,192.58
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Brown,Include Envelopes - A6,500,0.5341,267.05
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Brown,Include Envelopes - A6,1000,0.4045,404.48
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Purple,No Blank Envelopes,250,0.7703,192.58
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Purple,No Blank Envelopes,500,0.4815,240.75
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Purple,No Blank Envelopes,1000,0.3609,360.88
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Purple,Include Envelopes - A6,250,0.7703,192.58
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Purple,Include Envelopes - A6,500,0.5341,267.05
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Metallic Purple,Include Envelopes - A6,1000,0.4045,404.48
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Blue,No Blank Envelopes,250,0.7703,192.58
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Blue,No Blank Envelopes,500,0.4815,240.75
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Blue,No Blank Envelopes,1000,0.3609,360.88
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Blue,Include Envelopes - A6,250,0.7703,192.58
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Blue,Include Envelopes - A6,500,0.5341,267.05
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Blue,Include Envelopes - A6,1000,0.4045,404.48
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Red,No Blank Envelopes,250,0.7703,192.58
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Red,No Blank Envelopes,500,0.4815,240.75
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Red,No Blank Envelopes,1000,0.3609,360.88
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Red,Include Envelopes - A6,250,0.7703,192.58
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Red,Include Envelopes - A6,500,0.5341,267.05
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Red,Include Envelopes - A6,1000,0.4045,404.48
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Black,No Blank Envelopes,250,0.7703,192.58
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Black,No Blank Envelopes,500,0.4815,240.75
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Black,No Blank Envelopes,1000,0.3609,360.88
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Black,Include Envelopes - A6,250,0.7703,192.58
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Black,Include Envelopes - A6,500,0.5341,267.05
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Black,Include Envelopes - A6,1000,0.4045,404.48
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,White (Not Painted),No Blank Envelopes,250,0.7703,192.58
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,White (Not Painted),No Blank Envelopes,500,0.4815,240.75
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,White (Not Painted),No Blank Envelopes,1000,0.3609,360.88
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,White (Not Painted),Include Envelopes - A6,250,0.7703,192.58
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,White (Not Painted),Include Envelopes - A6,500,0.5341,267.05
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,White (Not Painted),Include Envelopes - A6,1000,0.4045,404.48
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Yellow,No Blank Envelopes,250,0.7703,192.58
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Yellow,No Blank Envelopes,500,0.4815,240.75
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Yellow,No Blank Envelopes,1000,0.3609,360.88
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Yellow,Include Envelopes - A6,250,0.7703,192.58
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Yellow,Include Envelopes - A6,500,0.5341,267.05
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Yellow,Include Envelopes - A6,1000,0.4045,404.48
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Turquoise,No Blank Envelopes,250,0.7703,192.58
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Turquoise,No Blank Envelopes,500,0.4815,240.75
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Turquoise,No Blank Envelopes,1000,0.3609,360.88
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Turquoise,Include Envelopes - A6,250,0.7703,192.58
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Turquoise,Include Envelopes - A6,500,0.5341,267.05
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Turquoise,Include Envelopes - A6,1000,0.4045,404.48
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Purple,No Blank Envelopes,250,0.7703,192.58
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Purple,No Blank Envelopes,500,0.4815,240.75
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Purple,No Blank Envelopes,1000,0.3609,360.88
"4.25"" x 6""",Rectangle,,32PT Uncoated,4/4 (4 color both sides),No Coating,Purple,Include Envelopes - A6,250,0.7703,192.58
