SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,EDGE COLOR ,RunSize,UnitPrice,TotalPrice
"4"" x 6""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Yellow,500,0.4478,223.88
"4"" x 6""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Yellow,1000,0.3320,332.01
"4"" x 6""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,Yellow,250,0.7164,179.10
"4"" x 6""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,Yellow,500,0.4478,223.88
"4"" x 6""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,Yellow,1000,0.3320,332.01
"4"" x 6""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,Black,250,0.7164,179.10
"4"" x 6""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,Black,500,0.4478,223.88
"4"" x 6""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,Black,1000,0.3320,332.01
"4"" x 6""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Hot Pink,250,0.7164,179.10
"4"" x 6""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Hot Pink,500,0.4478,223.88
"4"" x 6""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Hot Pink,1000,0.3320,332.01
"4"" x 6""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,Purple,250,0.7164,179.10
"4"" x 6""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,Purple,500,0.4478,223.88
"4"" x 6""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,Purple,1000,0.3320,332.01
"4"" x 6""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Blue,250,0.7164,179.10
"4"" x 6""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Blue,500,0.4478,223.88
"4"" x 6""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Blue,1000,0.3320,332.01
"4"" x 6""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Purple,250,0.7164,179.10
"4"" x 6""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Purple,500,0.4478,223.88
"4"" x 6""",Rectangle,32PT Uncoated,4/0 (4 color front),No Coating,Metallic Purple,1000,0.3320,332.01
